evaluation 1310: speed 0.027970, force 0.0315 N, moment 0.0104 Nm, torque margin 0.1326 Nm, penetration 0.000008 m
evaluation 1320: speed 0.027970, force 0.0315 N, moment 0.0104 Nm, torque margin 0.1327 Nm, penetration 0.000008 m
evaluation 1330: speed 0.027970, force 0.0315 N, moment 0.0104 Nm, torque margin 0.1327 Nm, penetration 0.000008 m
evaluation 1340: speed 0.028509, force 0.0263 N, moment 0.0087 Nm, torque margin 0.0849 Nm, penetration 0.000006 m
evaluation 1350: speed 0.028509, force 0.0263 N, moment 0.0087 Nm, torque margin 0.0849 Nm, penetration 0.000006 m
evaluation 1360: speed 0.028509, force 0.0263 N, moment 0.0087 Nm, torque margin 0.0849 Nm, penetration 0.000006 m
evaluation 1370: speed 0.028509, force 0.0264 N, moment 0.0087 Nm, torque margin 0.0849 Nm, penetration 0.000006 m
evaluation 1380: speed 0.028509, force 0.0263 N, moment 0.0087 Nm, torque margin 0.0849 Nm, penetration 0.000006 m
evaluation 1390: speed 0.028509, force 0.0263 N, moment 0.0087 Nm, torque margin 0.0849 Nm, penetration 0.000006 m
evaluation 1400: speed 0.028509, force 0.0263 N, moment 0.0087 Nm, torque margin 0.0849 Nm, penetration 0.000006 m
evaluation 1410: speed 0.028509, force 0.0263 N, moment 0.0087 Nm, torque margin 0.0849 Nm, penetration 0.000006 m
evaluation 1420: speed 0.028509, force 0.0263 N, moment 0.0087 Nm, torque margin 0.0849 Nm, penetration 0.000006 m
evaluation 1430: speed 0.028509, force 0.0263 N, moment 0.0087 Nm, torque margin 0.0849 Nm, penetration 0.000006 m
evaluation 1440: speed 0.028509, force 0.0263 N, moment 0.0087 Nm, torque margin 0.0849 Nm, penetration 0.000006 m
evaluation 1450: speed 0.028822, force 0.0214 N, moment 0.0071 Nm, torque margin 0.0556 Nm, penetration 0.000005 m
evaluation 1460: speed 0.028822, force 0.0215 N, moment 0.0071 Nm, torque margin 0.0554 Nm, penetration 0.000005 m
evaluation 1470: speed 0.028822, force 0.0214 N, moment 0.0071 Nm, torque margin 0.0554 Nm, penetration 0.000005 m
evaluation 1480: speed 0.028822, force 0.0215 N, moment 0.0071 Nm, torque margin 0.0554 Nm, penetration 0.000005 m
evaluation 1490: speed 0.028822, force 0.0215 N, moment 0.0071 Nm, torque margin 0.0554 Nm, penetration 0.000005 m
evaluation 1500: speed 0.028822, force 0.0214 N, moment 0.0071 Nm, torque margin 0.0554 Nm, penetration 0.000005 m
evaluation 1510: speed 0.028822, force 0.0215 N, moment 0.0071 Nm, torque margin 0.0554 Nm, penetration 0.000005 m
evaluation 1520: speed 0.028822, force 0.0215 N, moment 0.0071 Nm, torque margin 0.0554 Nm, penetration 0.000005 m
evaluation 1530: speed 0.028822, force 0.0215 N, moment 0.0071 Nm, torque margin 0.0554 Nm, penetration 0.000005 m
evaluation 1540: speed 0.028822, force 0.0215 N, moment 0.0071 Nm, torque margin 0.0555 Nm, penetration 0.000005 m
evaluation 1550: speed 0.029383, force 0.0176 N, moment 0.0058 Nm, torque margin 0.0100 Nm, penetration 0.000006 m
evaluation 1560: speed 0.029381, force 0.0175 N, moment 0.0058 Nm, torque margin 0.0102 Nm, penetration 0.000006 m
evaluation 1570: speed 0.029381, force 0.0175 N, moment 0.0058 Nm, torque margin 0.0102 Nm, penetration 0.000006 m
evaluation 1580: speed 0.029381, force 0.0175 N, moment 0.0058 Nm, torque margin 0.0102 Nm, penetration 0.000006 m
evaluation 1590: speed 0.029381, force 0.0175 N, moment 0.0058 Nm, torque margin 0.0102 Nm, penetration 0.000006 m
evaluation 1600: speed 0.029381, force 0.0175 N, moment 0.0058 Nm, torque margin 0.0102 Nm, penetration 0.000006 m
evaluation 1610: speed 0.029381, force 0.0175 N, moment 0.0058 Nm, torque margin 0.0102 Nm, penetration 0.000006 m
evaluation 1620: speed 0.029381, force 0.0175 N, moment 0.0058 Nm, torque margin 0.0102 Nm, penetration 0.000006 m
evaluation 1630: speed 0.029381, force 0.0175 N, moment 0.0058 Nm, torque margin 0.0102 Nm, penetration 0.000006 m
evaluation 1640: speed 0.029381, force 0.0175 N, moment 0.0058 Nm, torque margin 0.0102 Nm, penetration 0.000006 m
evaluation 1650: speed 0.029381, force 0.0175 N, moment 0.0058 Nm, torque margin 0.0102 Nm, penetration 0.000006 m
