evaluation 930: speed 0.025000, force 2.4492 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.983465, feasible false
evaluation 940: speed 0.025000, force 2.4492 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.983465, feasible false
evaluation 950: speed 0.025000, force 2.4492 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.983416, feasible false
evaluation 960: speed 0.025000, force 2.4499 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.997681, feasible false
evaluation 970: speed 0.025000, force 2.4475 N, moment 0.4318 Nm, torque -0.0955 Nm, cone 1.0510 N, maximum constraint 47.950678, feasible false
evaluation 980: speed 0.025000, force 2.4492 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.984794, feasible false
evaluation 990: speed 0.025000, force 2.4495 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.990623, feasible false
evaluation 1000: speed 0.025000, force 2.4492 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.983465, feasible false
evaluation 1010: speed 0.025000, force 2.4492 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.983465, feasible false
evaluation 1020: speed 0.025000, force 2.4492 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.983465, feasible false
evaluation 1030: speed 0.025000, force 2.4492 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.983465, feasible false
evaluation 1040: speed 0.025000, force 2.4492 N, moment 0.4318 Nm, torque -0.0954 Nm, cone 1.0510 N, maximum constraint 47.984933, feasible false
evaluation 1050: speed 0.025388, force 0.8909 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1060: speed 0.025388, force 0.8908 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1070: speed 0.025388, force 0.8890 N, moment 0.2692 Nm, torque -0.0964 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1080: speed 0.025388, force 0.8909 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1090: speed 0.025388, force 0.8909 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1100: speed 0.025388, force 0.8909 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1110: speed 0.025388, force 0.8909 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1120: speed 0.025388, force 0.8909 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
