evaluation 1900: speed 0.040520, force 0.0204 N, moment 0.0066 Nm, torque margin 0.3001 Nm, penetration 0.000003 m
evaluation 1910: speed 0.040520, force 0.0204 N, moment 0.0066 Nm, torque margin 0.3001 Nm, penetration 0.000003 m
evaluation 1920: speed 0.040520, force 0.0204 N, moment 0.0066 Nm, torque margin 0.3001 Nm, penetration 0.000003 m
evaluation 1930: speed 0.040520, force 0.0203 N, moment 0.0066 Nm, torque margin 0.3001 Nm, penetration 0.000003 m
evaluation 1940: speed 0.040520, force 0.0204 N, moment 0.0066 Nm, torque margin 0.3001 Nm, penetration 0.000003 m
evaluation 1950: speed 0.040520, force 0.0204 N, moment 0.0066 Nm, torque margin 0.3001 Nm, penetration 0.000003 m
evaluation 1960: speed 0.040520, force 0.0204 N, moment 0.0066 Nm, torque margin 0.3002 Nm, penetration 0.000003 m
evaluation 1970: speed 0.040520, force 0.0202 N, moment 0.0066 Nm, torque margin 0.3001 Nm, penetration 0.000003 m
evaluation 1980: speed 0.040520, force 0.0204 N, moment 0.0066 Nm, torque margin 0.3001 Nm, penetration 0.000003 m
evaluation 1990: speed 0.040520, force 0.0206 N, moment 0.0067 Nm, torque margin 0.3001 Nm, penetration 0.000003 m
evaluation 2000: speed 0.040520, force 0.0204 N, moment 0.0066 Nm, torque margin 0.2999 Nm, penetration 0.000003 m
evaluation 2010: speed 0.040520, force 0.0207 N, moment 0.0067 Nm, torque margin 0.3027 Nm, penetration 0.000003 m
evaluation 2020: speed 0.040520, force 0.0206 N, moment 0.0067 Nm, torque margin 0.3018 Nm, penetration 0.000003 m
evaluation 2030: speed 0.040520, force 0.0206 N, moment 0.0067 Nm, torque margin 0.3018 Nm, penetration 0.000003 m
evaluation 2040: speed 0.040520, force 0.0206 N, moment 0.0067 Nm, torque margin 0.3018 Nm, penetration 0.000003 m
evaluation 2050: speed 0.040520, force 0.0206 N, moment 0.0067 Nm, torque margin 0.3018 Nm, penetration 0.000003 m
evaluation 2060: speed 0.040520, force 0.0206 N, moment 0.0067 Nm, torque margin 0.3018 Nm, penetration 0.000003 m
evaluation 2070: speed 0.040520, force 0.0206 N, moment 0.0067 Nm, torque margin 0.3018 Nm, penetration 0.000003 m
evaluation 2080: speed 0.040520, force 0.0206 N, moment 0.0067 Nm, torque margin 0.3017 Nm, penetration 0.000003 m
evaluation 2090: speed 0.040520, force 0.0207 N, moment 0.0067 Nm, torque margin 0.3018 Nm, penetration 0.000003 m
evaluation 2100: speed 0.040520, force 0.0207 N, moment 0.0067 Nm, torque margin 0.3019 Nm, penetration 0.000003 m
evaluation 2110: speed 0.040471, force 0.0215 N, moment 0.0070 Nm, torque margin 0.3076 Nm, penetration 0.000002 m
