evaluation 1140: speed 0.154575, force 0.0372 N, moment 0.0119 Nm, torque margin -0.0056 Nm, penetration 0.000090 m
evaluation 1150: speed 0.154575, force 0.0372 N, moment 0.0119 Nm, torque margin -0.0056 Nm, penetration 0.000090 m
evaluation 1160: speed 0.154575, force 0.0380 N, moment 0.0122 Nm, torque margin -0.0056 Nm, penetration 0.000090 m
evaluation 1170: speed 0.165516, force 0.0384 N, moment 0.0124 Nm, torque margin -0.0383 Nm, penetration 0.000088 m
evaluation 1180: speed 0.165496, force 0.0383 N, moment 0.0123 Nm, torque margin -0.0381 Nm, penetration 0.000088 m
evaluation 1190: speed 0.165496, force 0.0384 N, moment 0.0123 Nm, torque margin -0.0381 Nm, penetration 0.000088 m
evaluation 1200: speed 0.165496, force 0.0387 N, moment 0.0124 Nm, torque margin -0.0380 Nm, penetration 0.000088 m
evaluation 1210: speed 0.165496, force 0.0384 N, moment 0.0123 Nm, torque margin -0.0380 Nm, penetration 0.000088 m
evaluation 1220: speed 0.165496, force 0.0383 N, moment 0.0123 Nm, torque margin -0.0381 Nm, penetration 0.000088 m
evaluation 1230: speed 0.165496, force 0.0391 N, moment 0.0126 Nm, torque margin -0.0381 Nm, penetration 0.000088 m
evaluation 1240: speed 0.165496, force 0.0383 N, moment 0.0123 Nm, torque margin -0.0381 Nm, penetration 0.000088 m
evaluation 1250: speed 0.165496, force 0.0383 N, moment 0.0123 Nm, torque margin -0.0381 Nm, penetration 0.000088 m
evaluation 1260: speed 0.165496, force 0.0383 N, moment 0.0123 Nm, torque margin -0.0381 Nm, penetration 0.000088 m
evaluation 1270: speed 0.165496, force 0.0385 N, moment 0.0124 Nm, torque margin -0.0380 Nm, penetration 0.000088 m
evaluation 1280: speed 0.168427, force 0.0442 N, moment 0.0142 Nm, torque margin -0.0206 Nm, penetration 0.000085 m
evaluation 1290: speed 0.168443, force 0.0442 N, moment 0.0142 Nm, torque margin -0.0207 Nm, penetration 0.000085 m
evaluation 1300: speed 0.168443, force 0.0440 N, moment 0.0142 Nm, torque margin -0.0207 Nm, penetration 0.000085 m
evaluation 1310: speed 0.168443, force 0.0443 N, moment 0.0142 Nm, torque margin -0.0206 Nm, penetration 0.000085 m
evaluation 1320: speed 0.168443, force 0.0442 N, moment 0.0142 Nm, torque margin -0.0207 Nm, penetration 0.000085 m
evaluation 1330: speed 0.168443, force 0.0441 N, moment 0.0142 Nm, torque margin -0.0207 Nm, penetration 0.000085 m
evaluation 1340: speed 0.168443, force 0.0441 N, moment 0.0142 Nm, torque margin -0.0208 Nm, penetration 0.000085 m
evaluation 1350: speed 0.168443, force 0.0438 N, moment 0.0141 Nm, torque margin -0.0207 Nm, penetration 0.000085 m
evaluation 1360: speed 0.168443, force 0.0441 N, moment 0.0142 Nm, torque margin -0.0207 Nm, penetration 0.000085 m
evaluation 1370: speed 0.168443, force 0.0441 N, moment 0.0142 Nm, torque margin -0.0207 Nm, penetration 0.000085 m
evaluation 1380: speed 0.168443, force 0.0442 N, moment 0.0142 Nm, torque margin -0.0208 Nm, penetration 0.000085 m
evaluation 1390: speed 0.170892, force 0.0965 N, moment 0.0150 Nm, torque margin -0.0118 Nm, penetration 0.000084 m
evaluation 1400: speed 0.170892, force 0.0946 N, moment 0.0150 Nm, torque margin -0.0117 Nm, penetration 0.000084 m
evaluation 1410: speed 0.170892, force 0.0946 N, moment 0.0150 Nm, torque margin -0.0117 Nm, penetration 0.000084 m
evaluation 1420: speed 0.170892, force 0.0945 N, moment 0.0150 Nm, torque margin -0.0117 Nm, penetration 0.000084 m
evaluation 1430: speed 0.170892, force 0.0946 N, moment 0.0150 Nm, torque margin -0.0117 Nm, penetration 0.000084 m
evaluation 1440: speed 0.170892, force 0.0946 N, moment 0.0150 Nm, torque margin -0.0117 Nm, penetration 0.000084 m
evaluation 1450: speed 0.170892, force 0.0945 N, moment 0.0151 Nm, torque margin -0.0117 Nm, penetration 0.000084 m
evaluation 1460: speed 0.170892, force 0.0944 N, moment 0.0150 Nm, torque margin -0.0116 Nm, penetration 0.000084 m
evaluation 1470: speed 0.170892, force 0.0946 N, moment 0.0150 Nm, torque margin -0.0117 Nm, penetration 0.000084 m
evaluation 1480: speed 0.170892, force 0.0945 N, moment 0.0150 Nm, torque margin -0.0116 Nm, penetration 0.000084 m
evaluation 1490: speed 0.170892, force 0.0946 N, moment 0.0150 Nm, torque margin -0.0117 Nm, penetration 0.000084 m
evaluation 1500: speed 0.172662, force 0.0528 N, moment 0.0170 Nm, torque margin -0.0047 Nm, penetration 0.000082 m
evaluation 1510: speed 0.172662, force 0.0528 N, moment 0.0170 Nm, torque margin -0.0048 Nm, penetration 0.000082 m
evaluation 1520: speed 0.172662, force 0.0528 N, moment 0.0170 Nm, torque margin -0.0047 Nm, penetration 0.000082 m
evaluation 1530: speed 0.172662, force 0.0528 N, moment 0.0170 Nm, torque margin -0.0048 Nm, penetration 0.000082 m
evaluation 1540: speed 0.172662, force 0.0528 N, moment 0.0170 Nm, torque margin -0.0048 Nm, penetration 0.000082 m
evaluation 1550: speed 0.172662, force 0.0528 N, moment 0.0170 Nm, torque margin -0.0046 Nm, penetration 0.000082 m
