evaluation 1100: speed 0.027031, force 0.7315 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.629356, feasible false
evaluation 1110: speed 0.027031, force 0.7315 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.629368, feasible false
evaluation 1120: speed 0.027031, force 0.7315 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.629356, feasible false
evaluation 1130: speed 0.027031, force 0.7315 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.629356, feasible false
evaluation 1140: speed 0.027031, force 0.7315 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.629356, feasible false
evaluation 1150: speed 0.027031, force 0.7315 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.629221, feasible false
evaluation 1160: speed 0.027031, force 0.7315 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.630063, feasible false
evaluation 1170: speed 0.027031, force 0.7251 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.501824, feasible false
evaluation 1180: speed 0.027031, force 0.7315 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.629356, feasible false
evaluation 1190: speed 0.027031, force 0.7315 N, moment 0.1507 Nm, torque 0.2686 Nm, cone 0.4871 N, maximum constraint 13.629356, feasible false
evaluation 1200: speed 0.027031, force 0.7315 N, moment 0.1507 Nm, torque 0.2684 Nm, cone 0.4871 N, maximum constraint 13.629356, feasible false
evaluation 1210: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808519, feasible false
evaluation 1220: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808470, feasible false
evaluation 1230: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808402, feasible false
evaluation 1240: speed 0.025000, force 0.4478 N, moment 0.1458 Nm, torque 0.3375 Nm, cone 0.3820 N, maximum constraint 7.955792, feasible false
evaluation 1250: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808519, feasible false
evaluation 1260: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808291, feasible false
evaluation 1270: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808629, feasible false
evaluation 1280: speed 0.025000, force 0.4404 N, moment 0.1459 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808205, feasible false
evaluation 1290: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808403, feasible false
evaluation 1300: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808596, feasible false
evaluation 1310: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808519, feasible false
evaluation 1320: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808519, feasible false
evaluation 1330: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808519, feasible false
evaluation 1340: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3378 Nm, cone 0.3820 N, maximum constraint 7.808519, feasible false
evaluation 1350: speed 0.025000, force 0.4404 N, moment 0.1460 Nm, torque 0.3379 Nm, cone 0.3820 N, maximum constraint 7.808532, feasible false
evaluation 1360: speed 0.025000, force 0.5461 N, moment 0.1896 Nm, torque 0.4017 Nm, cone 1.0880 N, maximum constraint 21.759336, feasible false
evaluation 1370: speed 0.025000, force 0.3780 N, moment 0.1425 Nm, torque 0.3592 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1380: speed 0.025000, force 0.3780 N, moment 0.1421 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1390: speed 0.025000, force 0.3780 N, moment 0.1424 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1400: speed 0.025000, force 0.3780 N, moment 0.1424 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1410: speed 0.025000, force 0.3780 N, moment 0.1424 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1420: speed 0.025000, force 0.3780 N, moment 0.1424 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1430: speed 0.025000, force 0.3780 N, moment 0.1425 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
