evaluation 1130: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1140: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1150: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1160: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1170: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1180: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1190: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1200: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1210: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1220: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1230: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1240: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1250: speed 0.053433, force 3.7291 N, moment 0.8898 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1260: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1270: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1280: speed 0.053433, force 3.7281 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8113 N, maximum constraint 76.226466, feasible false
evaluation 1290: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1300: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1310: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0405 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1320: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1330: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1340: speed 0.053433, force 3.7291 N, moment 0.8881 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1350: speed 0.053433, force 3.7291 N, moment 0.8883 Nm, torque 0.0407 Nm, cone 3.8137 N, maximum constraint 76.273189, feasible false
evaluation 1360: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1370: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1380: speed 0.036940, force 2.6328 N, moment 0.6789 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.655600, feasible false
evaluation 1390: speed 0.036940, force 2.6339 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.678117, feasible false
evaluation 1400: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1410: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1420: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656297, feasible false
evaluation 1430: speed 0.036940, force 2.6328 N, moment 0.6790 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656246, feasible false
evaluation 1440: speed 0.036940, force 2.6328 N, moment 0.6790 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.655557, feasible false
evaluation 1450: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4581 Nm, cone 2.1983 N, maximum constraint 51.655672, feasible false
evaluation 1460: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1470: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1480: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1490: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1908 N, maximum constraint 51.656044, feasible false
evaluation 1500: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1510: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1520: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1530: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
