valid report 740: speed 0.208576, force 11.788997 N, moment 2.894682 Nm, torque -0.240885 Nm, maximum inequality 234.779946, feasible false
valid report 750: speed 0.208576, force 11.788997 N, moment 2.894682 Nm, torque -0.239509 Nm, maximum inequality 234.779946, feasible false
valid report 760: speed 0.208576, force 11.788997 N, moment 2.894682 Nm, torque -0.239509 Nm, maximum inequality 234.779946, feasible false
valid report 770: speed 0.208576, force 11.788997 N, moment 2.894682 Nm, torque -0.239509 Nm, maximum inequality 234.779946, feasible false
valid report 780: speed 0.208576, force 11.789006 N, moment 2.894674 Nm, torque -0.239509 Nm, maximum inequality 234.780129, feasible false
valid report 790: speed 0.203881, force 11.339262 N, moment 2.762502 Nm, torque -0.204419 Nm, maximum inequality 225.785238, feasible false
valid report 800: speed 0.203881, force 11.339263 N, moment 2.762516 Nm, torque -0.204419 Nm, maximum inequality 225.785258, feasible false
valid report 810: speed 0.203881, force 11.339263 N, moment 2.762516 Nm, torque -0.204233 Nm, maximum inequality 225.785258, feasible false
valid report 820: speed 0.203881, force 11.339272 N, moment 2.762501 Nm, torque -0.204419 Nm, maximum inequality 225.785446, feasible false
valid report 830: speed 0.203881, force 11.337948 N, moment 2.762467 Nm, torque -0.204419 Nm, maximum inequality 225.758953, feasible false
valid report 840: speed 0.203881, force 11.339263 N, moment 2.762516 Nm, torque -0.204419 Nm, maximum inequality 225.785258, feasible false
valid report 850: speed 0.203881, force 11.339234 N, moment 2.762185 Nm, torque -0.204419 Nm, maximum inequality 225.784677, feasible false
valid report 860: speed 0.203881, force 11.360915 N, moment 2.762466 Nm, torque -0.204419 Nm, maximum inequality 226.218295, feasible false
valid report 870: speed 0.203881, force 11.339256 N, moment 2.762514 Nm, torque -0.204422 Nm, maximum inequality 225.785128, feasible false
valid report 880: speed 0.203881, force 11.339263 N, moment 2.762516 Nm, torque -0.204462 Nm, maximum inequality 225.785258, feasible false
valid report 890: speed 0.203881, force 11.339263 N, moment 2.762516 Nm, torque -0.204419 Nm, maximum inequality 225.785258, feasible false
valid report 900: speed 0.203881, force 11.339263 N, moment 2.762516 Nm, torque -0.204156 Nm, maximum inequality 225.785258, feasible false
valid report 910: speed 0.203881, force 11.339263 N, moment 2.762516 Nm, torque -0.204420 Nm, maximum inequality 225.785258, feasible false
valid report 920: speed 0.203881, force 11.339263 N, moment 2.762516 Nm, torque -0.204419 Nm, maximum inequality 225.785258, feasible false
valid report 930: speed 0.203881, force 11.339261 N, moment 2.762509 Nm, torque -0.204419 Nm, maximum inequality 225.785210, feasible false
valid report 940: speed 0.187675, force 9.446859 N, moment 2.315807 Nm, torque -0.049208 Nm, maximum inequality 187.937178, feasible false
valid report 950: speed 0.187675, force 9.446853 N, moment 2.315642 Nm, torque -0.049208 Nm, maximum inequality 187.937059, feasible false
valid report 960: speed 0.187675, force 9.446861 N, moment 2.315792 Nm, torque -0.049208 Nm, maximum inequality 187.937229, feasible false
valid report 970: speed 0.187675, force 9.446859 N, moment 2.315807 Nm, torque -0.049208 Nm, maximum inequality 187.937178, feasible false
valid report 980: speed 0.187675, force 9.446859 N, moment 2.315807 Nm, torque -0.049208 Nm, maximum inequality 187.937178, feasible false
valid report 990: speed 0.187675, force 9.446850 N, moment 2.315799 Nm, torque -0.049204 Nm, maximum inequality 187.937006, feasible false
valid report 1000: speed 0.187675, force 9.446863 N, moment 2.315805 Nm, torque -0.049208 Nm, maximum inequality 187.937270, feasible false
valid report 1010: speed 0.187675, force 9.446863 N, moment 2.315814 Nm, torque -0.049208 Nm, maximum inequality 187.937268, feasible false
valid report 1020: speed 0.187675, force 9.446867 N, moment 2.315805 Nm, torque -0.049208 Nm, maximum inequality 187.937344, feasible false
valid report 1030: speed 0.187675, force 9.446914 N, moment 2.315815 Nm, torque -0.049209 Nm, maximum inequality 187.938287, feasible false
valid report 1040: speed 0.187675, force 9.446859 N, moment 2.315807 Nm, torque -0.049219 Nm, maximum inequality 187.937178, feasible false
valid report 1050: speed 0.187675, force 9.446859 N, moment 2.315807 Nm, torque -0.049208 Nm, maximum inequality 187.937178, feasible false
valid report 1060: speed 0.187675, force 9.446859 N, moment 2.315807 Nm, torque -0.049208 Nm, maximum inequality 187.937178, feasible false
valid report 1070: speed 0.187675, force 9.446859 N, moment 2.315807 Nm, torque -0.049208 Nm, maximum inequality 187.937178, feasible false
valid report 1080: speed 0.187675, force 9.446859 N, moment 2.315807 Nm, torque -0.049208 Nm, maximum inequality 187.937178, feasible false
valid report 1090: speed 0.187675, force 9.446882 N, moment 2.315915 Nm, torque -0.049208 Nm, maximum inequality 187.937638, feasible false
valid report 1100: speed 0.187128, force 9.413058 N, moment 2.307438 Nm, torque -0.049102 Nm, maximum inequality 187.261167, feasible false
valid report 1110: speed 0.187151, force 9.413050 N, moment 2.307446 Nm, torque -0.049102 Nm, maximum inequality 187.260999, feasible false
valid report 1120: speed 0.187151, force 9.412990 N, moment 2.307937 Nm, torque -0.049102 Nm, maximum inequality 187.259794, feasible false
valid report 1130: speed 0.187151, force 9.413050 N, moment 2.307445 Nm, torque -0.049102 Nm, maximum inequality 187.260996, feasible false
valid report 1140: speed 0.187151, force 9.413050 N, moment 2.307446 Nm, torque -0.049102 Nm, maximum inequality 187.260999, feasible false
valid report 1150: speed 0.187151, force 9.413050 N, moment 2.307446 Nm, torque -0.049102 Nm, maximum inequality 187.260999, feasible false
valid report 1160: speed 0.187151, force 9.413743 N, moment 2.307347 Nm, torque -0.049098 Nm, maximum inequality 187.274857, feasible false
valid report 1170: speed 0.187151, force 9.413047 N, moment 2.307441 Nm, torque -0.049102 Nm, maximum inequality 187.260941, feasible false
valid report 1180: speed 0.187151, force 9.413044 N, moment 2.307446 Nm, torque -0.049101 Nm, maximum inequality 187.260879, feasible false
valid report 1190: speed 0.187151, force 9.413044 N, moment 2.307446 Nm, torque -0.049102 Nm, maximum inequality 187.260874, feasible false
valid report 1200: speed 0.187151, force 9.413050 N, moment 2.307446 Nm, torque -0.049100 Nm, maximum inequality 187.260999, feasible false
valid report 1210: speed 0.187151, force 9.413050 N, moment 2.307446 Nm, torque -0.049102 Nm, maximum inequality 187.260999, feasible false
valid report 1220: speed 0.187151, force 9.413050 N, moment 2.307446 Nm, torque -0.049102 Nm, maximum inequality 187.260999, feasible false
valid report 1230: speed 0.187151, force 9.413050 N, moment 2.307446 Nm, torque -0.049102 Nm, maximum inequality 187.260999, feasible false
valid report 1240: speed 0.187151, force 9.413046 N, moment 2.307444 Nm, torque -0.049102 Nm, maximum inequality 187.260924, feasible false
valid report 1250: speed 0.187151, force 9.413046 N, moment 2.307450 Nm, torque -0.049102 Nm, maximum inequality 187.260926, feasible false
valid report 1260: speed 0.187145, force 9.412677 N, moment 2.307341 Nm, torque -0.049101 Nm, maximum inequality 187.253548, feasible false
valid report 1270: speed 0.187145, force 9.412679 N, moment 2.307354 Nm, torque -0.049101 Nm, maximum inequality 187.253572, feasible false
valid report 1280: speed 0.187145, force 9.412679 N, moment 2.307354 Nm, torque -0.049101 Nm, maximum inequality 187.253572, feasible false
valid report 1290: speed 0.187145, force 9.412689 N, moment 2.307344 Nm, torque -0.049101 Nm, maximum inequality 187.253783, feasible false
valid report 1300: speed 0.187145, force 9.411634 N, moment 2.307294 Nm, torque -0.049123 Nm, maximum inequality 187.232688, feasible false
