evaluation 980: speed 0.055718, force 1.0587 N, moment 0.5461 Nm, torque -0.1906 Nm, cone 4.7707 N, maximum constraint 95.413247, feasible false
evaluation 990: speed 0.055718, force 1.0780 N, moment 0.5469 Nm, torque -0.1904 Nm, cone 4.7707 N, maximum constraint 95.413247, feasible false
evaluation 1000: speed 0.055718, force 1.0582 N, moment 0.5461 Nm, torque -0.1904 Nm, cone 4.7707 N, maximum constraint 95.413247, feasible false
evaluation 1010: speed 0.055718, force 1.0581 N, moment 0.5461 Nm, torque -0.1904 Nm, cone 4.7707 N, maximum constraint 95.413247, feasible false
evaluation 1020: speed 0.055718, force 1.0582 N, moment 0.5461 Nm, torque -0.1905 Nm, cone 4.7707 N, maximum constraint 95.413247, feasible false
evaluation 1030: speed 0.055718, force 1.0572 N, moment 0.5461 Nm, torque -0.1904 Nm, cone 4.7707 N, maximum constraint 95.413247, feasible false
evaluation 1040: speed 0.055718, force 1.0583 N, moment 0.5461 Nm, torque -0.1904 Nm, cone 4.7707 N, maximum constraint 95.413247, feasible false
evaluation 1050: speed 0.055111, force 1.1004 N, moment 0.5505 Nm, torque -0.1909 Nm, cone 4.7461 N, maximum constraint 94.922713, feasible false
evaluation 1060: speed 0.055111, force 1.1004 N, moment 0.5500 Nm, torque -0.1909 Nm, cone 4.7461 N, maximum constraint 94.922713, feasible false
evaluation 1070: speed 0.055111, force 1.1012 N, moment 0.5505 Nm, torque -0.1909 Nm, cone 4.7461 N, maximum constraint 94.922713, feasible false
evaluation 1080: speed 0.055111, force 1.1004 N, moment 0.5505 Nm, torque -0.1909 Nm, cone 4.7461 N, maximum constraint 94.922713, feasible false
evaluation 1090: speed 0.055111, force 1.1004 N, moment 0.5506 Nm, torque -0.1909 Nm, cone 4.7461 N, maximum constraint 94.922713, feasible false
evaluation 1100: speed 0.055111, force 1.1004 N, moment 0.5505 Nm, torque -0.1909 Nm, cone 4.7461 N, maximum constraint 94.922713, feasible false
evaluation 1110: speed 0.055111, force 1.1004 N, moment 0.5505 Nm, torque -0.1909 Nm, cone 4.7461 N, maximum constraint 94.922713, feasible false
evaluation 1120: speed 0.055111, force 1.1005 N, moment 0.5505 Nm, torque -0.1909 Nm, cone 4.7461 N, maximum constraint 94.922713, feasible false
evaluation 1130: speed 0.055111, force 1.1004 N, moment 0.5505 Nm, torque -0.1909 Nm, cone 4.7461 N, maximum constraint 94.922713, feasible false
evaluation 1140: speed 0.055111, force 1.1004 N, moment 0.5505 Nm, torque -0.1909 Nm, cone 4.7461 N, maximum constraint 94.922713, feasible false
evaluation 1150: speed 0.055111, force 1.1006 N, moment 0.5505 Nm, torque -0.1910 Nm, cone 4.7461 N, maximum constraint 94.922713, feasible false
evaluation 1160: speed 0.054933, force 1.1113 N, moment 0.5509 Nm, torque -0.1912 Nm, cone 4.7398 N, maximum constraint 94.796898, feasible false
evaluation 1170: speed 0.054933, force 1.1114 N, moment 0.5510 Nm, torque -0.1912 Nm, cone 4.7398 N, maximum constraint 94.796898, feasible false
evaluation 1180: speed 0.054933, force 1.1115 N, moment 0.5510 Nm, torque -0.1912 Nm, cone 4.7398 N, maximum constraint 94.796898, feasible false
evaluation 1190: speed 0.054933, force 1.1119 N, moment 0.5510 Nm, torque -0.1914 Nm, cone 4.7398 N, maximum constraint 94.796898, feasible false
evaluation 1200: speed 0.054933, force 1.1313 N, moment 0.5517 Nm, torque -0.1912 Nm, cone 4.7398 N, maximum constraint 94.796898, feasible false
evaluation 1210: speed 0.054933, force 1.1115 N, moment 0.5510 Nm, torque -0.1912 Nm, cone 4.7398 N, maximum constraint 94.796898, feasible false
evaluation 1220: speed 0.054933, force 1.1114 N, moment 0.5510 Nm, torque -0.1912 Nm, cone 4.7398 N, maximum constraint 94.796898, feasible false
evaluation 1230: speed 0.054933, force 1.1115 N, moment 0.5509 Nm, torque -0.1913 Nm, cone 4.7398 N, maximum constraint 94.796898, feasible false
evaluation 1240: speed 0.054933, force 1.1105 N, moment 0.5509 Nm, torque -0.1912 Nm, cone 4.7398 N, maximum constraint 94.796898, feasible false
evaluation 1250: speed 0.054933, force 1.1116 N, moment 0.5509 Nm, torque -0.1912 Nm, cone 4.7398 N, maximum constraint 94.796898, feasible false
evaluation 1260: speed 0.054319, force 1.1270 N, moment 0.5430 Nm, torque -0.1889 Nm, cone 4.7135 N, maximum constraint 94.269797, feasible false
evaluation 1270: speed 0.054319, force 1.1266 N, moment 0.5430 Nm, torque -0.1889 Nm, cone 4.7135 N, maximum constraint 94.269797, feasible false
evaluation 1280: speed 0.054319, force 1.1285 N, moment 0.5429 Nm, torque -0.1889 Nm, cone 4.7135 N, maximum constraint 94.269797, feasible false
evaluation 1290: speed 0.054319, force 1.1270 N, moment 0.5429 Nm, torque -0.1889 Nm, cone 4.7135 N, maximum constraint 94.269797, feasible false
evaluation 1300: speed 0.054319, force 1.1268 N, moment 0.5430 Nm, torque -0.1890 Nm, cone 4.7135 N, maximum constraint 94.269797, feasible false
evaluation 1310: speed 0.054319, force 1.1268 N, moment 0.5427 Nm, torque -0.1889 Nm, cone 4.7135 N, maximum constraint 94.269797, feasible false
evaluation 1320: speed 0.054319, force 1.1270 N, moment 0.5430 Nm, torque -0.1889 Nm, cone 4.7135 N, maximum constraint 94.269797, feasible false
evaluation 1330: speed 0.054319, force 1.1269 N, moment 0.5430 Nm, torque -0.1889 Nm, cone 4.7135 N, maximum constraint 94.269797, feasible false
evaluation 1340: speed 0.054319, force 1.1270 N, moment 0.5429 Nm, torque -0.1890 Nm, cone 4.7135 N, maximum constraint 94.269797, feasible false
evaluation 1350: speed 0.054319, force 1.1270 N, moment 0.5429 Nm, torque -0.1889 Nm, cone 4.7135 N, maximum constraint 94.269797, feasible false
evaluation 1360: speed 0.054319, force 1.1270 N, moment 0.5430 Nm, torque -0.1890 Nm, cone 4.7135 N, maximum constraint 94.269797, feasible false
evaluation 1370: speed 0.054109, force 1.0969 N, moment 0.5340 Nm, torque -0.1852 Nm, cone 4.7371 N, maximum constraint 94.741419, feasible false
evaluation 1380: speed 0.054140, force 1.0970 N, moment 0.5340 Nm, torque -0.1852 Nm, cone 4.7371 N, maximum constraint 94.741419, feasible false
evaluation 1390: speed 0.054140, force 1.0970 N, moment 0.5337 Nm, torque -0.1852 Nm, cone 4.7371 N, maximum constraint 94.741419, feasible false
evaluation 1400: speed 0.054140, force 1.0931 N, moment 0.5340 Nm, torque -0.1853 Nm, cone 4.7371 N, maximum constraint 94.741419, feasible false
evaluation 1410: speed 0.054140, force 1.0970 N, moment 0.5340 Nm, torque -0.1852 Nm, cone 4.7371 N, maximum constraint 94.741419, feasible false
evaluation 1420: speed 0.054140, force 1.0970 N, moment 0.5340 Nm, torque -0.1852 Nm, cone 4.7371 N, maximum constraint 94.741419, feasible false
evaluation 1430: speed 0.054140, force 1.0981 N, moment 0.5341 Nm, torque -0.1852 Nm, cone 4.7371 N, maximum constraint 94.741419, feasible false
evaluation 1440: speed 0.054140, force 1.0970 N, moment 0.5341 Nm, torque -0.1852 Nm, cone 4.7371 N, maximum constraint 94.741419, feasible false
evaluation 1450: speed 0.054140, force 1.0970 N, moment 0.5340 Nm, torque -0.1852 Nm, cone 4.7371 N, maximum constraint 94.741419, feasible false
evaluation 1460: speed 0.054140, force 1.0970 N, moment 0.5340 Nm, torque -0.1852 Nm, cone 4.7371 N, maximum constraint 94.741419, feasible false
evaluation 1470: speed 0.054140, force 1.0969 N, moment 0.5340 Nm, torque -0.1852 Nm, cone 4.7371 N, maximum constraint 94.741419, feasible false
evaluation 1480: speed 0.053720, force 1.0509 N, moment 0.5240 Nm, torque -0.1804 Nm, cone 4.7436 N, maximum constraint 94.872017, feasible false
evaluation 1490: speed 0.053720, force 1.0522 N, moment 0.5238 Nm, torque -0.1804 Nm, cone 4.7436 N, maximum constraint 94.872017, feasible false
evaluation 1500: speed 0.053720, force 1.0508 N, moment 0.5238 Nm, torque -0.1804 Nm, cone 4.7436 N, maximum constraint 94.872017, feasible false
evaluation 1510: speed 0.053720, force 1.0509 N, moment 0.5239 Nm, torque -0.1804 Nm, cone 4.7436 N, maximum constraint 94.872017, feasible false
evaluation 1520: speed 0.053720, force 1.0509 N, moment 0.5236 Nm, torque -0.1804 Nm, cone 4.7436 N, maximum constraint 94.872017, feasible false
