evaluation 900: speed 0.131241, force 9.7806 N, moment 4.7055 Nm, torque margin -0.2646 Nm, penetration 0.000491 m
evaluation 910: speed 0.131241, force 9.7805 N, moment 4.7054 Nm, torque margin -0.2647 Nm, penetration 0.000491 m
evaluation 920: speed 0.131241, force 9.7805 N, moment 4.7054 Nm, torque margin -0.2647 Nm, penetration 0.000491 m
evaluation 930: speed 0.131241, force 9.7805 N, moment 4.7054 Nm, torque margin -0.2647 Nm, penetration 0.000491 m
evaluation 940: speed 0.131276, force 8.0023 N, moment 4.2442 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 950: speed 0.131276, force 8.0024 N, moment 4.2442 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 960: speed 0.131276, force 8.0023 N, moment 4.2442 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 970: speed 0.131276, force 8.0023 N, moment 4.2442 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 980: speed 0.131276, force 8.0023 N, moment 4.2442 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 990: speed 0.131276, force 8.0023 N, moment 4.2442 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1000: speed 0.131276, force 8.0024 N, moment 4.2442 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1010: speed 0.131276, force 8.0023 N, moment 4.2442 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1020: speed 0.131276, force 8.0023 N, moment 4.2442 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1030: speed 0.131276, force 8.0023 N, moment 4.2442 Nm, torque margin -0.2649 Nm, penetration 0.000490 m
evaluation 1040: speed 0.131284, force 8.0011 N, moment 4.2440 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1050: speed 0.131284, force 8.0007 N, moment 4.2438 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1060: speed 0.131284, force 8.0011 N, moment 4.2440 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1070: speed 0.131284, force 8.0011 N, moment 4.2440 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1080: speed 0.131284, force 8.0012 N, moment 4.2440 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1090: speed 0.131284, force 8.0012 N, moment 4.2440 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1100: speed 0.131284, force 8.0011 N, moment 4.2440 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1110: speed 0.131284, force 8.0012 N, moment 4.2440 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1120: speed 0.131284, force 8.0011 N, moment 4.2440 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1130: speed 0.131284, force 8.0012 N, moment 4.2440 Nm, torque margin -0.2651 Nm, penetration 0.000490 m
evaluation 1140: speed 0.131276, force 8.0010 N, moment 4.2440 Nm, torque margin -0.2649 Nm, penetration 0.000490 m
evaluation 1150: speed 0.131286, force 8.0008 N, moment 4.2439 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1160: speed 0.131286, force 8.0008 N, moment 4.2439 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1170: speed 0.131286, force 8.0008 N, moment 4.2439 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1180: speed 0.131286, force 8.0008 N, moment 4.2439 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1190: speed 0.131286, force 8.0008 N, moment 4.2439 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1200: speed 0.131286, force 8.0008 N, moment 4.2439 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1210: speed 0.131286, force 8.0008 N, moment 4.2439 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1220: speed 0.131286, force 8.0008 N, moment 4.2439 Nm, torque margin -0.2651 Nm, penetration 0.000490 m
evaluation 1230: speed 0.131286, force 8.0008 N, moment 4.2439 Nm, torque margin -0.2650 Nm, penetration 0.000490 m
evaluation 1240: speed 0.131294, force 7.9998 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1250: speed 0.131294, force 7.9997 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1260: speed 0.131294, force 8.0000 N, moment 4.2438 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1270: speed 0.131294, force 7.9996 N, moment 4.2438 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1280: speed 0.131294, force 7.9998 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1290: speed 0.131294, force 7.9998 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1300: speed 0.131294, force 7.9999 N, moment 4.2438 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1310: speed 0.131294, force 7.9998 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1320: speed 0.131294, force 7.9998 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1330: speed 0.131294, force 7.9998 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1340: speed 0.131294, force 7.9998 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1350: speed 0.131296, force 7.9994 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1360: speed 0.131296, force 7.9993 N, moment 4.2436 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1370: speed 0.131296, force 7.9994 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1380: speed 0.131296, force 7.9994 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1390: speed 0.131296, force 7.9994 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1400: speed 0.131296, force 7.9992 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1410: speed 0.131296, force 7.9994 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1420: speed 0.131296, force 7.9994 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1430: speed 0.131296, force 7.9994 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1440: speed 0.131296, force 7.9994 N, moment 4.2437 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1450: speed 0.131303, force 7.9985 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1460: speed 0.131303, force 9.7778 N, moment 4.7045 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1470: speed 0.131303, force 7.9985 N, moment 4.2435 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1480: speed 0.131303, force 7.9985 N, moment 4.2435 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1490: speed 0.131303, force 7.9985 N, moment 4.2435 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1500: speed 0.131303, force 7.9985 N, moment 4.2435 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1510: speed 0.131303, force 7.9985 N, moment 4.2435 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1520: speed 0.131303, force 7.9985 N, moment 4.2435 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1530: speed 0.131303, force 7.9985 N, moment 4.2435 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1540: speed 0.131303, force 7.9985 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1550: speed 0.131294, force 7.9985 N, moment 4.2435 Nm, torque margin -0.2649 Nm, penetration 0.000491 m
evaluation 1560: speed 0.131305, force 7.9983 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1570: speed 0.131305, force 7.9983 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1580: speed 0.131305, force 7.9983 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1590: speed 0.131305, force 7.9983 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1600: speed 0.131305, force 7.9983 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1610: speed 0.131305, force 7.9983 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1620: speed 0.131305, force 7.9983 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1630: speed 0.131305, force 7.9983 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1640: speed 0.131305, force 7.9983 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1650: speed 0.131307, force 7.9982 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1660: speed 0.131307, force 7.9981 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1670: speed 0.131307, force 7.9984 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
