evaluation 1090: speed 0.028793, force 0.0740 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1100: speed 0.028793, force 0.0741 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1110: speed 0.028793, force 0.0741 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000295 m
evaluation 1120: speed 0.028793, force 0.0741 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1130: speed 0.028793, force 0.0741 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1140: speed 0.028793, force 0.0742 N, moment 0.0240 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1150: speed 0.028793, force 0.0741 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1160: speed 0.028793, force 0.0741 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1170: speed 0.028804, force 0.0740 N, moment 0.0239 Nm, torque margin 0.7491 Nm, penetration 0.000296 m
evaluation 1180: speed 0.028793, force 0.0739 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1190: speed 0.028793, force 0.0739 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1200: speed 0.028793, force 0.0739 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1210: speed 0.028793, force 0.0739 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1220: speed 0.028793, force 0.0739 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1230: speed 0.028793, force 0.0739 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1240: speed 0.028793, force 0.0739 N, moment 0.0239 Nm, torque margin 0.7491 Nm, penetration 0.000296 m
evaluation 1250: speed 0.028793, force 0.0739 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1260: speed 0.028793, force 0.0740 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
evaluation 1270: speed 0.028793, force 0.0739 N, moment 0.0239 Nm, torque margin 0.7492 Nm, penetration 0.000296 m
