evaluation 1130: speed 0.025000, force 0.6393 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.786267, feasible false
evaluation 1140: speed 0.025000, force 0.6393 N, moment 0.1762 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.786267, feasible false
evaluation 1150: speed 0.025000, force 0.6393 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.786267, feasible false
evaluation 1160: speed 0.025000, force 0.6393 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.785860, feasible false
evaluation 1170: speed 0.025000, force 0.6392 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.784150, feasible false
evaluation 1180: speed 0.025000, force 0.6393 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.785550, feasible false
evaluation 1190: speed 0.025000, force 0.6400 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.800154, feasible false
evaluation 1200: speed 0.025000, force 0.6393 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.786267, feasible false
evaluation 1210: speed 0.025000, force 0.6393 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.786267, feasible false
evaluation 1220: speed 0.025000, force 0.6393 N, moment 0.1761 Nm, torque 0.6113 Nm, cone 0.3706 N, maximum constraint 11.786267, feasible false
evaluation 1230: speed 0.025000, force 0.5434 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.868863, feasible false
evaluation 1240: speed 0.025000, force 0.5434 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.868865, feasible false
evaluation 1250: speed 0.025000, force 0.5435 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.869444, feasible false
evaluation 1260: speed 0.025000, force 0.5434 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.868698, feasible false
evaluation 1270: speed 0.025000, force 0.5434 N, moment 0.1758 Nm, torque 0.6131 Nm, cone 0.3106 N, maximum constraint 9.867618, feasible false
evaluation 1280: speed 0.025000, force 0.5434 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.868800, feasible false
evaluation 1290: speed 0.025000, force 0.5434 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.868865, feasible false
evaluation 1300: speed 0.025000, force 0.5434 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.868865, feasible false
evaluation 1310: speed 0.025000, force 0.5435 N, moment 0.1758 Nm, torque 0.6129 Nm, cone 0.3106 N, maximum constraint 9.869009, feasible false
evaluation 1320: speed 0.025000, force 0.5437 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.873482, feasible false
evaluation 1330: speed 0.025000, force 0.5434 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.868230, feasible false
evaluation 1340: speed 0.025000, force 0.5435 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.869111, feasible false
evaluation 1350: speed 0.025000, force 0.5434 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.867911, feasible false
evaluation 1360: speed 0.025000, force 0.5434 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.868865, feasible false
evaluation 1370: speed 0.025000, force 0.5434 N, moment 0.1758 Nm, torque 0.6134 Nm, cone 0.3106 N, maximum constraint 9.868865, feasible false
