evaluation 1630: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1640: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1650: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1660: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1670: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1680: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1690: speed 0.025000, force 1.5627 N, moment 0.3484 Nm, torque -0.3798 Nm, cone 0.0751 N, maximum constraint 36.975111, feasible false
evaluation 1700: speed 0.025015, force 1.3391 N, moment 0.2554 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.261345, feasible false
evaluation 1710: speed 0.025000, force 1.3387 N, moment 0.2554 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.263893, feasible false
evaluation 1720: speed 0.025000, force 1.3388 N, moment 0.2555 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.256322, feasible false
evaluation 1730: speed 0.025000, force 1.3386 N, moment 0.2564 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.263893, feasible false
evaluation 1740: speed 0.025000, force 1.3406 N, moment 0.2554 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.263893, feasible false
evaluation 1750: speed 0.025000, force 1.3388 N, moment 0.2554 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.263893, feasible false
evaluation 1760: speed 0.025000, force 1.3386 N, moment 0.2554 Nm, torque -0.3227 Nm, cone 0.0634 N, maximum constraint 31.268346, feasible false
evaluation 1770: speed 0.025000, force 1.3388 N, moment 0.2554 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.263198, feasible false
evaluation 1780: speed 0.025000, force 1.3388 N, moment 0.2554 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.262822, feasible false
evaluation 1790: speed 0.025000, force 1.3388 N, moment 0.2554 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.263893, feasible false
evaluation 1800: speed 0.025000, force 1.3388 N, moment 0.2554 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.263893, feasible false
evaluation 1810: speed 0.025000, force 1.3388 N, moment 0.2552 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.263893, feasible false
evaluation 1820: speed 0.025000, force 1.3388 N, moment 0.2554 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.263893, feasible false
evaluation 1830: speed 0.025000, force 1.3388 N, moment 0.2554 Nm, torque -0.3226 Nm, cone 0.0644 N, maximum constraint 31.263893, feasible false
evaluation 1840: speed 0.025000, force 1.3401 N, moment 0.2554 Nm, torque -0.3226 Nm, cone 0.0634 N, maximum constraint 31.263893, feasible false
