evaluation 1610: speed 0.078606, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0868 Nm, penetration 0.000027 m
evaluation 1620: speed 0.078606, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0868 Nm, penetration 0.000027 m
evaluation 1630: speed 0.078606, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0868 Nm, penetration 0.000027 m
evaluation 1640: speed 0.078606, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0868 Nm, penetration 0.000027 m
evaluation 1650: speed 0.078606, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0868 Nm, penetration 0.000027 m
evaluation 1660: speed 0.078606, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0868 Nm, penetration 0.000027 m
evaluation 1670: speed 0.078606, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0868 Nm, penetration 0.000027 m
evaluation 1680: speed 0.078606, force 0.0501 N, moment 0.0162 Nm, torque margin -0.0868 Nm, penetration 0.000027 m
evaluation 1690: speed 0.078606, force 0.0496 N, moment 0.0161 Nm, torque margin -0.0868 Nm, penetration 0.000027 m
evaluation 1700: speed 0.078606, force 0.0496 N, moment 0.0160 Nm, torque margin -0.0868 Nm, penetration 0.000027 m
real 517.22
user 513.59
sys 0.86
