valid report 1200: speed 0.025213, force 0.051337 N, moment 0.067255 Nm, torque 1.055138 Nm, maximum inequality 17.316829, feasible false
valid report 1210: speed 0.025213, force 0.056007 N, moment 0.067305 Nm, torque 1.055701 Nm, maximum inequality 17.316829, feasible false
valid report 1220: speed 0.025213, force 0.051974 N, moment 0.067290 Nm, torque 1.055167 Nm, maximum inequality 17.316829, feasible false
valid report 1230: speed 0.025213, force 0.053930 N, moment 0.067301 Nm, torque 1.055076 Nm, maximum inequality 17.316829, feasible false
valid report 1240: speed 0.025213, force 0.052321 N, moment 0.067065 Nm, torque 1.055160 Nm, maximum inequality 17.316829, feasible false
valid report 1250: speed 0.025213, force 0.052338 N, moment 0.067282 Nm, torque 1.055134 Nm, maximum inequality 17.316829, feasible false
valid report 1260: speed 0.025213, force 0.052339 N, moment 0.067290 Nm, torque 1.055134 Nm, maximum inequality 17.316829, feasible false
valid report 1270: speed 0.025213, force 0.052339 N, moment 0.067290 Nm, torque 1.055134 Nm, maximum inequality 17.316829, feasible false
valid report 1280: speed 0.025213, force 0.052339 N, moment 0.067283 Nm, torque 1.055134 Nm, maximum inequality 17.316829, feasible false
valid report 1290: speed 0.025213, force 0.052349 N, moment 0.067289 Nm, torque 1.055081 Nm, maximum inequality 17.316829, feasible false
valid report 1300: speed 0.025199, force 0.046904 N, moment 0.034387 Nm, torque 1.084755 Nm, maximum inequality 27.760329, feasible false
valid report 1310: speed 0.025199, force 0.048614 N, moment 0.034351 Nm, torque 1.084732 Nm, maximum inequality 27.760329, feasible false
valid report 1320: speed 0.025199, force 0.046904 N, moment 0.034414 Nm, torque 1.084734 Nm, maximum inequality 27.760329, feasible false
valid report 1330: speed 0.025199, force 0.057532 N, moment 0.034387 Nm, torque 1.086134 Nm, maximum inequality 27.760329, feasible false
valid report 1340: speed 0.025199, force 0.046694 N, moment 0.034371 Nm, torque 1.084716 Nm, maximum inequality 27.760329, feasible false
valid report 1350: speed 0.025197, force 0.046913 N, moment 0.034384 Nm, torque 1.084764 Nm, maximum inequality 27.760329, feasible false
valid report 1360: speed 0.025199, force 0.047122 N, moment 0.034362 Nm, torque 1.084755 Nm, maximum inequality 27.760329, feasible false
valid report 1370: speed 0.025199, force 0.046944 N, moment 0.034382 Nm, torque 1.084755 Nm, maximum inequality 27.760329, feasible false
valid report 1380: speed 0.025199, force 0.046783 N, moment 0.034459 Nm, torque 1.084729 Nm, maximum inequality 27.760329, feasible false
valid report 1390: speed 0.025199, force 0.046929 N, moment 0.034383 Nm, torque 1.084755 Nm, maximum inequality 27.760329, feasible false
valid report 1400: speed 0.025199, force 0.046901 N, moment 0.034373 Nm, torque 1.084703 Nm, maximum inequality 27.760329, feasible false
valid report 1410: speed 0.025198, force 0.050142 N, moment 0.029659 Nm, torque 1.135603 Nm, maximum inequality 20.511215, feasible false
valid report 1420: speed 0.025198, force 0.046311 N, moment 0.029430 Nm, torque 1.135620 Nm, maximum inequality 20.511215, feasible false
valid report 1430: speed 0.025198, force 0.047218 N, moment 0.029650 Nm, torque 1.135674 Nm, maximum inequality 20.511215, feasible false
valid report 1440: speed 0.025198, force 0.046612 N, moment 0.029704 Nm, torque 1.135555 Nm, maximum inequality 20.511215, feasible false
valid report 1450: speed 0.025198, force 0.079384 N, moment 0.029627 Nm, torque 1.134174 Nm, maximum inequality 20.511215, feasible false
valid report 1460: speed 0.025213, force 0.046733 N, moment 0.029649 Nm, torque 1.135579 Nm, maximum inequality 20.511215, feasible false
valid report 1470: speed 0.025198, force 0.046366 N, moment 0.029650 Nm, torque 1.135615 Nm, maximum inequality 20.511215, feasible false
valid report 1480: speed 0.025198, force 0.047104 N, moment 0.029675 Nm, torque 1.135615 Nm, maximum inequality 20.511215, feasible false
valid report 1490: speed 0.025198, force 0.046405 N, moment 0.029650 Nm, torque 1.135600 Nm, maximum inequality 20.511215, feasible false
valid report 1500: speed 0.025198, force 0.046321 N, moment 0.029650 Nm, torque 1.135615 Nm, maximum inequality 20.511215, feasible false
valid report 1510: speed 0.025198, force 0.046319 N, moment 0.029628 Nm, torque 1.135615 Nm, maximum inequality 20.511215, feasible false
valid report 1520: speed 0.025207, force 0.046484 N, moment 0.026838 Nm, torque 1.183844 Nm, maximum inequality 14.134659, feasible false
valid report 1530: speed 0.025207, force 0.048457 N, moment 0.026847 Nm, torque 1.183865 Nm, maximum inequality 14.134659, feasible false
valid report 1540: speed 0.025207, force 0.046538 N, moment 0.026847 Nm, torque 1.183847 Nm, maximum inequality 14.134659, feasible false
valid report 1550: speed 0.025207, force 0.047411 N, moment 0.026872 Nm, torque 1.184176 Nm, maximum inequality 14.134659, feasible false
valid report 1560: speed 0.025207, force 0.046411 N, moment 0.026735 Nm, torque 1.183901 Nm, maximum inequality 14.134659, feasible false
valid report 1570: speed 0.025207, force 0.046490 N, moment 0.026848 Nm, torque 1.183839 Nm, maximum inequality 14.134659, feasible false
valid report 1580: speed 0.025207, force 0.046542 N, moment 0.026847 Nm, torque 1.183852 Nm, maximum inequality 14.134659, feasible false
valid report 1590: speed 0.025207, force 0.046536 N, moment 0.026885 Nm, torque 1.183852 Nm, maximum inequality 14.134659, feasible false
valid report 1600: speed 0.025207, force 0.046542 N, moment 0.026771 Nm, torque 1.183852 Nm, maximum inequality 14.134659, feasible false
valid report 1610: speed 0.025207, force 0.046536 N, moment 0.026925 Nm, torque 1.183844 Nm, maximum inequality 14.134659, feasible false
