evaluation 760: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 770: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 780: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 790: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 800: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 810: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 820: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 830: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 840: speed 0.150440, force 13.5339 N, moment 1.4391 Nm, torque -0.5118 Nm, cone 1.7369 N, maximum constraint 269.678483, feasible false
evaluation 850: speed 0.062634, force 9.6864 N, moment 1.9444 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728989, feasible false
evaluation 860: speed 0.062634, force 9.6868 N, moment 1.9449 Nm, torque -0.2248 Nm, cone 1.8840 N, maximum constraint 192.735003, feasible false
evaluation 870: speed 0.062634, force 9.6954 N, moment 1.9450 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.908322, feasible false
evaluation 880: speed 0.062634, force 9.6830 N, moment 1.9450 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.660009, feasible false
evaluation 890: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728789, feasible false
evaluation 900: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 910: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728981, feasible false
evaluation 920: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728960, feasible false
evaluation 930: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 940: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 950: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8766 N, maximum constraint 192.728954, feasible false
evaluation 960: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 970: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 980: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 990: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1000: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1010: speed 0.062634, force 9.6864 N, moment 1.9444 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728989, feasible false
evaluation 1020: speed 0.062634, force 9.6868 N, moment 1.9449 Nm, torque -0.2248 Nm, cone 1.8840 N, maximum constraint 192.735003, feasible false
evaluation 1030: speed 0.062634, force 9.6954 N, moment 1.9450 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.908322, feasible false
evaluation 1040: speed 0.062634, force 9.6830 N, moment 1.9450 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.660009, feasible false
evaluation 1050: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728789, feasible false
evaluation 1060: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1070: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728981, feasible false
evaluation 1080: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728960, feasible false
evaluation 1090: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1100: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1110: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8766 N, maximum constraint 192.728954, feasible false
evaluation 1120: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1130: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1140: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1150: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1160: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
