evaluation 1190: speed 0.187402, force 0.0507 N, moment 0.0165 Nm, torque margin -0.0014 Nm, penetration 0.000046 m
evaluation 1200: speed 0.187402, force 0.0509 N, moment 0.0165 Nm, torque margin -0.0014 Nm, penetration 0.000046 m
evaluation 1210: speed 0.187402, force 0.0509 N, moment 0.0165 Nm, torque margin -0.0014 Nm, penetration 0.000046 m
evaluation 1220: speed 0.187402, force 0.0509 N, moment 0.0165 Nm, torque margin -0.0014 Nm, penetration 0.000046 m
evaluation 1230: speed 0.187402, force 0.0519 N, moment 0.0169 Nm, torque margin -0.0014 Nm, penetration 0.000046 m
evaluation 1240: speed 0.187402, force 0.0509 N, moment 0.0165 Nm, torque margin -0.0014 Nm, penetration 0.000046 m
evaluation 1250: speed 0.187402, force 0.0507 N, moment 0.0164 Nm, torque margin -0.0017 Nm, penetration 0.000046 m
evaluation 1260: speed 0.187402, force 0.0509 N, moment 0.0165 Nm, torque margin -0.0014 Nm, penetration 0.000046 m
evaluation 1270: speed 0.187330, force 0.0526 N, moment 0.0171 Nm, torque margin -0.0004 Nm, penetration 0.000046 m
evaluation 1280: speed 0.187330, force 0.0525 N, moment 0.0171 Nm, torque margin -0.0004 Nm, penetration 0.000046 m
evaluation 1290: speed 0.187330, force 0.0525 N, moment 0.0171 Nm, torque margin -0.0004 Nm, penetration 0.000046 m
evaluation 1300: speed 0.187330, force 0.0526 N, moment 0.0171 Nm, torque margin -0.0004 Nm, penetration 0.000046 m
evaluation 1310: speed 0.187330, force 0.0526 N, moment 0.0171 Nm, torque margin -0.0010 Nm, penetration 0.000046 m
evaluation 1320: speed 0.187330, force 0.0525 N, moment 0.0170 Nm, torque margin -0.0004 Nm, penetration 0.000046 m
evaluation 1330: speed 0.187330, force 0.0528 N, moment 0.0171 Nm, torque margin -0.0007 Nm, penetration 0.000046 m
evaluation 1340: speed 0.187330, force 0.0526 N, moment 0.0171 Nm, torque margin -0.0004 Nm, penetration 0.000046 m
evaluation 1350: speed 0.187330, force 0.0525 N, moment 0.0171 Nm, torque margin -0.0004 Nm, penetration 0.000046 m
evaluation 1360: speed 0.187330, force 0.0525 N, moment 0.0171 Nm, torque margin -0.0004 Nm, penetration 0.000046 m
evaluation 1370: speed 0.187136, force 0.0506 N, moment 0.0164 Nm, torque margin -0.0029 Nm, penetration 0.000045 m
evaluation 1380: speed 0.187136, force 0.0506 N, moment 0.0164 Nm, torque margin -0.0029 Nm, penetration 0.000045 m
evaluation 1390: speed 0.187136, force 0.0506 N, moment 0.0164 Nm, torque margin -0.0029 Nm, penetration 0.000045 m
evaluation 1400: speed 0.187136, force 0.0504 N, moment 0.0164 Nm, torque margin -0.0029 Nm, penetration 0.000045 m
evaluation 1410: speed 0.187136, force 0.0506 N, moment 0.0164 Nm, torque margin -0.0029 Nm, penetration 0.000045 m
evaluation 1420: speed 0.187136, force 0.0506 N, moment 0.0164 Nm, torque margin -0.0029 Nm, penetration 0.000045 m
evaluation 1430: speed 0.187136, force 0.0506 N, moment 0.0164 Nm, torque margin -0.0029 Nm, penetration 0.000045 m
