valid report 1380: speed 0.043456, force 0.054220 N, moment 0.024888 Nm, torque 1.040602 Nm, maximum inequality 11.224218, feasible false
valid report 1390: speed 0.043456, force 0.054208 N, moment 0.024901 Nm, torque 1.040602 Nm, maximum inequality 11.224218, feasible false
valid report 1400: speed 0.043456, force 0.054201 N, moment 0.024927 Nm, torque 1.040602 Nm, maximum inequality 11.224218, feasible false
valid report 1410: speed 0.047243, force 0.054598 N, moment 0.026427 Nm, torque 1.025918 Nm, maximum inequality 8.584564, feasible false
valid report 1420: speed 0.047243, force 0.054034 N, moment 0.026425 Nm, torque 1.025946 Nm, maximum inequality 8.584564, feasible false
valid report 1430: speed 0.047243, force 0.054511 N, moment 0.026422 Nm, torque 1.025907 Nm, maximum inequality 8.584564, feasible false
valid report 1440: speed 0.047243, force 0.054294 N, moment 0.026409 Nm, torque 1.025924 Nm, maximum inequality 8.584564, feasible false
valid report 1450: speed 0.047243, force 0.054694 N, moment 0.026442 Nm, torque 1.025962 Nm, maximum inequality 8.584564, feasible false
valid report 1460: speed 0.047243, force 0.054224 N, moment 0.026409 Nm, torque 1.025924 Nm, maximum inequality 8.584564, feasible false
valid report 1470: speed 0.047243, force 0.054533 N, moment 0.026419 Nm, torque 1.025924 Nm, maximum inequality 8.584564, feasible false
valid report 1480: speed 0.047243, force 0.054532 N, moment 0.026428 Nm, torque 1.025924 Nm, maximum inequality 8.584564, feasible false
valid report 1490: speed 0.047243, force 0.054430 N, moment 0.025282 Nm, torque 1.025924 Nm, maximum inequality 8.584564, feasible false
valid report 1500: speed 0.047243, force 0.054533 N, moment 0.026422 Nm, torque 1.025939 Nm, maximum inequality 8.584564, feasible false
valid report 1510: speed 0.047243, force 0.054532 N, moment 0.026421 Nm, torque 1.025924 Nm, maximum inequality 8.584564, feasible false
valid report 1520: speed 0.050567, force 0.054760 N, moment 0.026260 Nm, torque 1.014734 Nm, maximum inequality 9.409272, feasible false
valid report 1530: speed 0.050567, force 0.054776 N, moment 0.026264 Nm, torque 1.014954 Nm, maximum inequality 9.409272, feasible false
valid report 1540: speed 0.050567, force 0.054408 N, moment 0.026262 Nm, torque 1.014929 Nm, maximum inequality 9.409272, feasible false
valid report 1550: speed 0.050567, force 0.054826 N, moment 0.026263 Nm, torque 1.014929 Nm, maximum inequality 9.409272, feasible false
valid report 1560: speed 0.050567, force 0.055074 N, moment 0.026269 Nm, torque 1.014810 Nm, maximum inequality 9.409272, feasible false
valid report 1570: speed 0.050567, force 0.054892 N, moment 0.025420 Nm, torque 1.014929 Nm, maximum inequality 9.409272, feasible false
valid report 1580: speed 0.050567, force 0.054840 N, moment 0.026275 Nm, torque 1.014929 Nm, maximum inequality 9.409272, feasible false
valid report 1590: speed 0.050567, force 0.054840 N, moment 0.026260 Nm, torque 1.014929 Nm, maximum inequality 9.409272, feasible false
valid report 1600: speed 0.050567, force 0.054819 N, moment 0.026233 Nm, torque 1.014929 Nm, maximum inequality 9.409272, feasible false
valid report 1610: speed 0.050567, force 0.054841 N, moment 0.026250 Nm, torque 1.014933 Nm, maximum inequality 9.409272, feasible false
valid report 1620: speed 0.050567, force 0.054840 N, moment 0.026254 Nm, torque 1.014929 Nm, maximum inequality 9.409272, feasible false
valid report 1630: speed 0.052636, force 0.054230 N, moment 0.025792 Nm, torque 1.004183 Nm, maximum inequality 8.267613, feasible false
valid report 1640: speed 0.052636, force 0.054102 N, moment 0.025830 Nm, torque 1.004794 Nm, maximum inequality 8.267613, feasible false
valid report 1650: speed 0.052636, force 0.053992 N, moment 0.025831 Nm, torque 1.004172 Nm, maximum inequality 8.267613, feasible false
valid report 1660: speed 0.052636, force 0.054501 N, moment 0.025859 Nm, torque 1.004149 Nm, maximum inequality 8.267613, feasible false
valid report 1670: speed 0.052636, force 0.054069 N, moment 0.025832 Nm, torque 1.004192 Nm, maximum inequality 8.267613, feasible false
valid report 1680: speed 0.052636, force 0.054049 N, moment 0.025812 Nm, torque 1.004172 Nm, maximum inequality 8.267613, feasible false
valid report 1690: speed 0.052636, force 0.054052 N, moment 0.025818 Nm, torque 1.004172 Nm, maximum inequality 8.267613, feasible false
valid report 1700: speed 0.052636, force 0.054052 N, moment 0.025831 Nm, torque 1.004172 Nm, maximum inequality 8.267613, feasible false
valid report 1710: speed 0.052636, force 0.054241 N, moment 0.025831 Nm, torque 1.004172 Nm, maximum inequality 8.267613, feasible false
valid report 1720: speed 0.052636, force 0.054055 N, moment 0.025874 Nm, torque 1.004230 Nm, maximum inequality 8.267613, feasible false
valid report 1730: speed 0.055140, force 0.052970 N, moment 0.025275 Nm, torque 0.993339 Nm, maximum inequality 8.869048, feasible false
valid report 1740: speed 0.055140, force 0.053170 N, moment 0.025355 Nm, torque 0.993308 Nm, maximum inequality 8.869048, feasible false
valid report 1750: speed 0.055140, force 0.053314 N, moment 0.025314 Nm, torque 0.993304 Nm, maximum inequality 8.869048, feasible false
valid report 1760: speed 0.055140, force 0.054781 N, moment 0.025275 Nm, torque 0.993339 Nm, maximum inequality 8.869048, feasible false
valid report 1770: speed 0.055140, force 0.053102 N, moment 0.025279 Nm, torque 0.993311 Nm, maximum inequality 8.869048, feasible false
valid report 1780: speed 0.055144, force 0.052858 N, moment 0.025292 Nm, torque 0.993308 Nm, maximum inequality 8.869048, feasible false
valid report 1790: speed 0.055140, force 0.053050 N, moment 0.025275 Nm, torque 0.993339 Nm, maximum inequality 8.869048, feasible false
valid report 1800: speed 0.055140, force 0.052942 N, moment 0.025346 Nm, torque 0.993339 Nm, maximum inequality 8.869048, feasible false
valid report 1810: speed 0.055140, force 0.053373 N, moment 0.025207 Nm, torque 0.993339 Nm, maximum inequality 8.869048, feasible false
valid report 1820: speed 0.055140, force 0.052977 N, moment 0.025275 Nm, torque 0.993339 Nm, maximum inequality 8.869048, feasible false
valid report 1830: speed 0.055140, force 0.052971 N, moment 0.025250 Nm, torque 0.993405 Nm, maximum inequality 8.869048, feasible false
valid report 1840: speed 0.061126, force 0.062373 N, moment 0.023868 Nm, torque 0.957110 Nm, maximum inequality 9.519819, feasible false
valid report 1850: speed 0.061126, force 0.062345 N, moment 0.023866 Nm, torque 0.957103 Nm, maximum inequality 9.519819, feasible false
valid report 1860: speed 0.061126, force 0.062796 N, moment 0.023891 Nm, torque 0.957189 Nm, maximum inequality 9.519819, feasible false
valid report 1870: speed 0.061126, force 0.061685 N, moment 0.023847 Nm, torque 0.957107 Nm, maximum inequality 9.519819, feasible false
valid report 1880: speed 0.061126, force 0.062287 N, moment 0.023871 Nm, torque 0.956263 Nm, maximum inequality 9.519819, feasible false
valid report 1890: speed 0.061111, force 0.062438 N, moment 0.023842 Nm, torque 0.957132 Nm, maximum inequality 9.519819, feasible false
valid report 1900: speed 0.061126, force 0.062319 N, moment 0.023867 Nm, torque 0.957106 Nm, maximum inequality 9.519819, feasible false
valid report 1910: speed 0.061126, force 0.062270 N, moment 0.024022 Nm, torque 0.957106 Nm, maximum inequality 9.519819, feasible false
valid report 1920: speed 0.061126, force 0.062498 N, moment 0.023850 Nm, torque 0.957106 Nm, maximum inequality 9.519819, feasible false
valid report 1930: speed 0.061126, force 0.062341 N, moment 0.023867 Nm, torque 0.957106 Nm, maximum inequality 9.519819, feasible false
valid report 1940: speed 0.061126, force 0.062344 N, moment 0.023865 Nm, torque 0.957106 Nm, maximum inequality 9.519819, feasible false
valid report 1950: speed 0.061491, force 0.048648 N, moment 0.020565 Nm, torque 0.951354 Nm, maximum inequality 5.517180, feasible false
valid report 1960: speed 0.061491, force 0.047984 N, moment 0.020563 Nm, torque 0.951437 Nm, maximum inequality 5.517180, feasible false
valid report 1970: speed 0.061491, force 0.048551 N, moment 0.020560 Nm, torque 0.951294 Nm, maximum inequality 5.517180, feasible false
valid report 1980: speed 0.061491, force 0.048408 N, moment 0.020548 Nm, torque 0.951491 Nm, maximum inequality 5.517180, feasible false
valid report 1990: speed 0.061491, force 0.048737 N, moment 0.020582 Nm, torque 0.951239 Nm, maximum inequality 5.517180, feasible false
valid report 2000: speed 0.061491, force 0.048397 N, moment 0.020543 Nm, torque 0.951349 Nm, maximum inequality 5.517180, feasible false
valid report 2010: speed 0.061491, force 0.048575 N, moment 0.020557 Nm, torque 0.951349 Nm, maximum inequality 5.517180, feasible false
valid report 2020: speed 0.061491, force 0.048575 N, moment 0.020565 Nm, torque 0.951349 Nm, maximum inequality 5.517180, feasible false
valid report 2030: speed 0.061491, force 0.048480 N, moment 0.020626 Nm, torque 0.951349 Nm, maximum inequality 5.517180, feasible false
valid report 2040: speed 0.061491, force 0.048784 N, moment 0.020553 Nm, torque 0.950626 Nm, maximum inequality 5.517180, feasible false
valid report 2050: speed 0.061491, force 0.048575 N, moment 0.020559 Nm, torque 0.951558 Nm, maximum inequality 5.517180, feasible false
valid report 2060: speed 0.065070, force 0.052727 N, moment 0.019894 Nm, torque 0.814764 Nm, maximum inequality 2.569775, feasible false
valid report 2070: speed 0.065070, force 0.050328 N, moment 0.019892 Nm, torque 0.814853 Nm, maximum inequality 2.569775, feasible false
valid report 2080: speed 0.065070, force 0.050147 N, moment 0.019891 Nm, torque 0.814703 Nm, maximum inequality 2.569775, feasible false
valid report 2090: speed 0.065070, force 0.050420 N, moment 0.019892 Nm, torque 0.814795 Nm, maximum inequality 2.569775, feasible false
valid report 2100: speed 0.065070, force 0.050622 N, moment 0.019898 Nm, torque 0.814865 Nm, maximum inequality 2.569775, feasible false
valid report 2110: speed 0.065070, force 0.050465 N, moment 0.020655 Nm, torque 0.814761 Nm, maximum inequality 2.569775, feasible false
valid report 2120: speed 0.065070, force 0.050424 N, moment 0.019910 Nm, torque 0.814761 Nm, maximum inequality 2.569775, feasible false
valid report 2130: speed 0.065070, force 0.050421 N, moment 0.019889 Nm, torque 0.814761 Nm, maximum inequality 2.569775, feasible false
valid report 2140: speed 0.065070, force 0.050423 N, moment 0.019888 Nm, torque 0.814761 Nm, maximum inequality 2.569775, feasible false
valid report 2150: speed 0.065070, force 0.050422 N, moment 0.019880 Nm, torque 0.814782 Nm, maximum inequality 2.569775, feasible false
