evaluation 1440: speed 0.058946, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1285 Nm, penetration 0.000000 m
evaluation 1450: speed 0.058946, force 0.0073 N, moment 0.0024 Nm, torque margin 0.1285 Nm, penetration 0.000000 m
evaluation 1460: speed 0.058946, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1285 Nm, penetration 0.000000 m
evaluation 1470: speed 0.058946, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1285 Nm, penetration 0.000000 m
evaluation 1480: speed 0.058940, force 0.0075 N, moment 0.0024 Nm, torque margin 0.1284 Nm, penetration 0.000000 m
evaluation 1490: speed 0.058945, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1282 Nm, penetration 0.000000 m
evaluation 1500: speed 0.058945, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1282 Nm, penetration 0.000000 m
evaluation 1510: speed 0.058945, force 0.0073 N, moment 0.0024 Nm, torque margin 0.1282 Nm, penetration 0.000000 m
evaluation 1520: speed 0.058945, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1282 Nm, penetration 0.000000 m
evaluation 1530: speed 0.058945, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1282 Nm, penetration 0.000000 m
evaluation 1540: speed 0.058945, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1282 Nm, penetration 0.000000 m
evaluation 1550: speed 0.058945, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1282 Nm, penetration 0.000000 m
evaluation 1560: speed 0.058945, force 0.0078 N, moment 0.0025 Nm, torque margin 0.1282 Nm, penetration 0.000000 m
evaluation 1570: speed 0.058945, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1282 Nm, penetration 0.000000 m
evaluation 1580: speed 0.058945, force 0.0073 N, moment 0.0024 Nm, torque margin 0.1282 Nm, penetration 0.000000 m
evaluation 1590: speed 0.058937, force 0.0075 N, moment 0.0024 Nm, torque margin 0.1281 Nm, penetration 0.000000 m
evaluation 1600: speed 0.058937, force 0.0066 N, moment 0.0021 Nm, torque margin 0.1281 Nm, penetration 0.000000 m
evaluation 1610: speed 0.058937, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1281 Nm, penetration 0.000000 m
evaluation 1620: speed 0.058937, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1281 Nm, penetration 0.000000 m
evaluation 1630: speed 0.058937, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1281 Nm, penetration 0.000000 m
evaluation 1640: speed 0.058937, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1281 Nm, penetration 0.000000 m
evaluation 1650: speed 0.058937, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1281 Nm, penetration 0.000000 m
evaluation 1660: speed 0.058937, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1281 Nm, penetration 0.000000 m
evaluation 1670: speed 0.058937, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1281 Nm, penetration 0.000000 m
evaluation 1680: speed 0.058937, force 0.0074 N, moment 0.0024 Nm, torque margin 0.1281 Nm, penetration 0.000000 m
real 497.09
user 493.49
sys 0.66
