evaluation 1130: speed 0.098252, force 0.0557 N, moment 0.0180 Nm, torque margin -0.0095 Nm, penetration 0.000071 m
evaluation 1140: speed 0.098252, force 0.0557 N, moment 0.0180 Nm, torque margin -0.0095 Nm, penetration 0.000071 m
evaluation 1150: speed 0.098252, force 0.0557 N, moment 0.0180 Nm, torque margin -0.0095 Nm, penetration 0.000071 m
evaluation 1160: speed 0.098252, force 0.0558 N, moment 0.0180 Nm, torque margin -0.0095 Nm, penetration 0.000071 m
evaluation 1170: speed 0.098252, force 0.0557 N, moment 0.0180 Nm, torque margin -0.0095 Nm, penetration 0.000071 m
evaluation 1180: speed 0.116858, force 0.0695 N, moment 0.0224 Nm, torque margin -0.0235 Nm, penetration 0.000070 m
evaluation 1190: speed 0.116858, force 0.0696 N, moment 0.0224 Nm, torque margin -0.0232 Nm, penetration 0.000070 m
evaluation 1200: speed 0.116858, force 0.0696 N, moment 0.0224 Nm, torque margin -0.0234 Nm, penetration 0.000070 m
evaluation 1210: speed 0.116858, force 0.0695 N, moment 0.0224 Nm, torque margin -0.0235 Nm, penetration 0.000070 m
evaluation 1220: speed 0.116858, force 0.0695 N, moment 0.0224 Nm, torque margin -0.0235 Nm, penetration 0.000070 m
evaluation 1230: speed 0.116858, force 0.0695 N, moment 0.0224 Nm, torque margin -0.0235 Nm, penetration 0.000070 m
evaluation 1240: speed 0.116858, force 0.0695 N, moment 0.0224 Nm, torque margin -0.0235 Nm, penetration 0.000070 m
evaluation 1250: speed 0.116858, force 0.0696 N, moment 0.0224 Nm, torque margin -0.0234 Nm, penetration 0.000070 m
evaluation 1260: speed 0.116858, force 0.0695 N, moment 0.0224 Nm, torque margin -0.0235 Nm, penetration 0.000070 m
evaluation 1270: speed 0.116858, force 0.0695 N, moment 0.0224 Nm, torque margin -0.0235 Nm, penetration 0.000070 m
evaluation 1280: speed 0.122522, force 0.0755 N, moment 0.0243 Nm, torque margin -0.0041 Nm, penetration 0.000068 m
evaluation 1290: speed 0.122535, force 0.0759 N, moment 0.0244 Nm, torque margin -0.0045 Nm, penetration 0.000068 m
evaluation 1300: speed 0.122535, force 0.0759 N, moment 0.0244 Nm, torque margin -0.0044 Nm, penetration 0.000068 m
evaluation 1310: speed 0.122535, force 0.0758 N, moment 0.0244 Nm, torque margin -0.0045 Nm, penetration 0.000068 m
evaluation 1320: speed 0.122535, force 0.0759 N, moment 0.0244 Nm, torque margin -0.0045 Nm, penetration 0.000068 m
evaluation 1330: speed 0.122535, force 0.0759 N, moment 0.0244 Nm, torque margin -0.0045 Nm, penetration 0.000068 m
evaluation 1340: speed 0.122535, force 0.0759 N, moment 0.0244 Nm, torque margin -0.0045 Nm, penetration 0.000068 m
evaluation 1350: speed 0.122535, force 0.0759 N, moment 0.0244 Nm, torque margin -0.0045 Nm, penetration 0.000068 m
evaluation 1360: speed 0.122535, force 0.0766 N, moment 0.0246 Nm, torque margin -0.0046 Nm, penetration 0.000068 m
evaluation 1370: speed 0.122535, force 0.0759 N, moment 0.0244 Nm, torque margin -0.0045 Nm, penetration 0.000068 m
evaluation 1380: speed 0.122535, force 0.0757 N, moment 0.0244 Nm, torque margin -0.0045 Nm, penetration 0.000068 m
evaluation 1390: speed 0.140412, force 0.1039 N, moment 0.0335 Nm, torque margin -0.0144 Nm, penetration 0.000064 m
evaluation 1400: speed 0.140412, force 0.1039 N, moment 0.0334 Nm, torque margin -0.0144 Nm, penetration 0.000064 m
evaluation 1410: speed 0.140412, force 0.1039 N, moment 0.0334 Nm, torque margin -0.0146 Nm, penetration 0.000064 m
evaluation 1420: speed 0.140412, force 0.1039 N, moment 0.0334 Nm, torque margin -0.0144 Nm, penetration 0.000064 m
evaluation 1430: speed 0.140412, force 0.1038 N, moment 0.0334 Nm, torque margin -0.0144 Nm, penetration 0.000064 m
evaluation 1440: speed 0.140412, force 0.1039 N, moment 0.0334 Nm, torque margin -0.0144 Nm, penetration 0.000064 m
evaluation 1450: speed 0.140412, force 0.1039 N, moment 0.0334 Nm, torque margin -0.0146 Nm, penetration 0.000064 m
evaluation 1460: speed 0.140412, force 0.1039 N, moment 0.0334 Nm, torque margin -0.0144 Nm, penetration 0.000064 m
evaluation 1470: speed 0.140412, force 0.1039 N, moment 0.0334 Nm, torque margin -0.0144 Nm, penetration 0.000064 m
evaluation 1480: speed 0.140412, force 0.1039 N, moment 0.0334 Nm, torque margin -0.0144 Nm, penetration 0.000064 m
evaluation 1490: speed 0.193863, force 0.1315 N, moment 0.0423 Nm, torque margin -0.0548 Nm, penetration 0.000064 m
evaluation 1500: speed 0.193863, force 0.1315 N, moment 0.0423 Nm, torque margin -0.0548 Nm, penetration 0.000064 m
evaluation 1510: speed 0.193863, force 0.1314 N, moment 0.0423 Nm, torque margin -0.0553 Nm, penetration 0.000064 m
evaluation 1520: speed 0.193863, force 0.1314 N, moment 0.0423 Nm, torque margin -0.0548 Nm, penetration 0.000064 m
evaluation 1530: speed 0.193863, force 0.1315 N, moment 0.0423 Nm, torque margin -0.0548 Nm, penetration 0.000064 m
evaluation 1540: speed 0.193863, force 0.1315 N, moment 0.0423 Nm, torque margin -0.0548 Nm, penetration 0.000064 m
evaluation 1550: speed 0.193863, force 0.1315 N, moment 0.0423 Nm, torque margin -0.0548 Nm, penetration 0.000064 m
evaluation 1560: speed 0.193863, force 0.1311 N, moment 0.0422 Nm, torque margin -0.0547 Nm, penetration 0.000064 m
evaluation 1570: speed 0.193863, force 0.1315 N, moment 0.0423 Nm, torque margin -0.0548 Nm, penetration 0.000064 m
evaluation 1580: speed 0.193863, force 0.1320 N, moment 0.0425 Nm, torque margin -0.0545 Nm, penetration 0.000064 m
evaluation 1590: speed 0.193863, force 0.1315 N, moment 0.0423 Nm, torque margin -0.0548 Nm, penetration 0.000064 m
      185.91 real       182.42 user         0.89 sys
