smoothing 0.003 evaluation 4000: force 0.0031, moment 0.0011, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4020: force 0.0042, moment 0.0019, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4040: force 0.0013, moment 0.0004, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4060: force 0.0030, moment 0.0010, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4080: force 0.0012, moment 0.0005, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4100: force 0.0013, moment 0.0004, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4120: force 0.0063, moment 0.0017, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4140: force 0.0012, moment 0.0006, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4160: force 0.0024, moment 0.0002, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4180: force 0.0031, moment 0.0011, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4200: force 0.0043, moment 0.0019, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4220: force 0.0013, moment 0.0004, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4240: force 0.0029, moment 0.0010, torque Some(1.1536221947690342)
smoothing 0.003 evaluation 4260: force 0.0016, moment 0.0005, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4280: force 0.0014, moment 0.0004, torque Some(1.153521923880875)
smoothing 0.003 evaluation 4300: force 0.0011, moment 0.0005, torque Some(1.1536246376352106)
smoothing 0.003 evaluation 4320: force 0.0006, moment 0.0002, torque Some(1.1536221948110819)
smoothing 0.003 evaluation 4340: force 0.0081, moment 0.0024, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4360: force 0.0060, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4380: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4400: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4420: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4440: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4460: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4480: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
