evaluation 35800: force 0.2051477429351312, moment 0.07291557747484068, torque Some(0.26728449753422834)
evaluation 36000: force 0.2051477429351312, moment 0.07291557747484068, torque Some(0.26728449753422834)
evaluation 36200: force 0.2051477429351312, moment 0.07291557747484068, torque Some(0.26728449753422834)
evaluation 36400: force 0.2051477429351312, moment 0.07291557747484068, torque Some(0.26728449753422834)
evaluation 36600: force 0.2051477429351312, moment 0.07286359700317746, torque Some(0.26728449753422834)
evaluation 36800: force 0.20292988952535004, moment 0.07274655887318349, torque Some(0.2674857095143446)
evaluation 37000: force 0.20292988952535004, moment 0.07274655887318349, torque Some(0.26748571118933884)
evaluation 37200: force 0.20292988952535004, moment 0.07274655887318349, torque Some(0.2674857095143446)
evaluation 37400: force 0.20292988952535004, moment 0.07274655887318349, torque Some(0.2674857095143446)
evaluation 37600: force 0.20292988952535004, moment 0.07274655887318349, torque Some(0.2674857095143446)
evaluation 37800: force 0.2028489798097862, moment 0.07274655887318349, torque Some(0.2674857095143446)
evaluation 38000: force 0.20016714260296128, moment 0.07164320237778996, torque Some(0.26794689277039874)
evaluation 38200: force 0.20016714260296128, moment 0.07164320237778996, torque Some(0.26794689277039874)
evaluation 38400: force 0.20016714260296128, moment 0.07164320237778996, torque Some(0.26794689277039874)
evaluation 38600: force 0.20016714260296128, moment 0.07164320237778996, torque Some(0.26794689277039874)
evaluation 38800: force 0.20016714260296128, moment 0.07164051265270223, torque Some(0.26794689277039874)
evaluation 39000: force 0.20016714260296128, moment 0.07164320237778996, torque Some(0.26794689277039874)
evaluation 39200: force 0.19769556130996382, moment 0.06998206523762833, torque Some(0.2688968486072523)
evaluation 39400: force 0.19769556130996382, moment 0.06998206523762833, torque Some(0.2688968486072523)
evaluation 39600: force 0.19769556130996382, moment 0.06998206523762833, torque Some(0.2688968486072523)
evaluation 39800: force 0.19769556130996382, moment 0.06998206523762833, torque Some(0.2688968486072523)
evaluation 40000: force 0.19769556130996382, moment 0.06995859311621574, torque Some(0.2688968486072523)
evaluation 40200: force 0.19769556130996382, moment 0.06998206523762833, torque Some(0.2688968486072523)
evaluation 40400: force 0.19346063800534102, moment 0.0694886738457208, torque Some(0.270103821982524)
evaluation 40600: force 0.19346063800534102, moment 0.0694886738457208, torque Some(0.270103821982524)
evaluation 40800: force 0.19346063800534102, moment 0.0694886738457208, torque Some(0.270103821982524)
evaluation 41000: force 0.19346063800534102, moment 0.0694886738457208, torque Some(0.270103821982524)
evaluation 41200: force 0.19302827343603124, moment 0.06948850721631282, torque Some(0.270103821982524)
evaluation 41400: force 0.18594108714359353, moment 0.06988237229127565, torque Some(0.2685699496120135)
evaluation 41600: force 0.18594108714359353, moment 0.06988237229127565, torque Some(0.2685699496120135)
evaluation 41800: force 0.18594108714359353, moment 0.06988237229127565, torque Some(0.2685699496120135)
