smoothing 0.003 evaluation 2720: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2740: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2760: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2780: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2800: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2820: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2840: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2860: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2880: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2900: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2920: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2940: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 2960: force 6.0330, moment 0.6223, torque Some(0.0880370639364102)
smoothing 0.003 evaluation 2980: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3000: force 6.0330, moment 0.6223, torque Some(0.08804004389812259)
smoothing 0.003 evaluation 3020: force 6.0330, moment 0.6223, torque Some(0.08801710413070607)
smoothing 0.003 evaluation 3040: force 6.0330, moment 0.6223, torque Some(0.08803791396476734)
smoothing 0.003 evaluation 3060: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3080: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3100: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3120: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3140: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3160: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3180: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3200: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3220: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3240: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3260: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3280: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3300: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3320: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3340: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3360: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3380: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3400: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3420: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3440: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3460: force 6.0330, moment 0.6223, torque Some(0.08803748118259103)
smoothing 0.003 evaluation 3480: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3500: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3520: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3540: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3560: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3580: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3600: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3620: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3640: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3660: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3680: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3700: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3720: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3740: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3760: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3780: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3800: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3820: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3840: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3860: force 5.9403, moment 0.6500, torque Some(-0.07141498325264795)
smoothing 0.003 evaluation 3880: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3900: force 5.9403, moment 0.6500, torque Some(-0.07141737220104949)
smoothing 0.003 evaluation 3920: force 5.9403, moment 0.6500, torque Some(-0.07141385613468931)
smoothing 0.003 evaluation 3940: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3960: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 3980: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4000: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4020: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4040: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4060: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4080: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4100: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4120: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4140: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4160: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
