evaluation 29400: force 0.11614313708183807, moment 0.06444515201999554, torque Some(0.33138551154277746)
evaluation 29600: force 0.11605610642619812, moment 0.0644818318481767, torque Some(0.33138551154277746)
evaluation 29800: force 0.11614313708183807, moment 0.06444515201999554, torque Some(0.33138551154277746)
evaluation 30000: force 0.11638694039075165, moment 0.06462068966662758, torque Some(0.33149785540503135)
evaluation 30200: force 0.11638694039075165, moment 0.06462068966662758, torque Some(0.33149784521233844)
evaluation 30400: force 0.11638694039075165, moment 0.06462068966662758, torque Some(0.33149785540503135)
evaluation 30600: force 0.11638694039075165, moment 0.06462068966662758, torque Some(0.33149785540503135)
evaluation 30800: force 0.11639346429245467, moment 0.06461520165809899, torque Some(0.33149785540503135)
evaluation 31000: force 0.11638694039075165, moment 0.06462068966662758, torque Some(0.33149785540503135)
evaluation 31200: force 0.11608289674886514, moment 0.06408871354082826, torque Some(0.33183769078322367)
evaluation 31400: force 0.11608289674886514, moment 0.06408871354082826, torque Some(0.33183769078322367)
evaluation 31600: force 0.11608289674886514, moment 0.06408871354082826, torque Some(0.33183769078322367)
evaluation 31800: force 0.11608289674886514, moment 0.06408871354082826, torque Some(0.33183769078322367)
evaluation 32000: force 0.11608315505228338, moment 0.06408854164592975, torque Some(0.33183769078322367)
evaluation 32200: force 0.11635569814189453, moment 0.0641008154113647, torque Some(0.33217558022243987)
evaluation 32400: force 0.11635569814189453, moment 0.0641008154113647, torque Some(0.33217558681701276)
evaluation 32600: force 0.11635569814189453, moment 0.0641008154113647, torque Some(0.33217558022243987)
evaluation 32800: force 0.11635569814189453, moment 0.0641008154113647, torque Some(0.33217558022243987)
evaluation 33000: force 0.11635569814189453, moment 0.0641008154113647, torque Some(0.33217558022243987)
evaluation 33200: force 0.11635569814189453, moment 0.0641008154113647, torque Some(0.33217558022243987)
evaluation 33400: force 0.11604591442093613, moment 0.06373961057650109, torque Some(0.3322787261924029)
evaluation 33600: force 0.11604591442093613, moment 0.06373961057650109, torque Some(0.3322787261924029)
evaluation 33800: force 0.11604591442093613, moment 0.06373961057650109, torque Some(0.3322787261924029)
evaluation 34000: force 0.11604591442093613, moment 0.06373961057650109, torque Some(0.3322787261924029)
evaluation 34200: force 0.11604592578422332, moment 0.06373968703780157, torque Some(0.3322787261924029)
evaluation 34400: force 0.11604591442093613, moment 0.06373961057650109, torque Some(0.3322787261924029)
