smoothing 0.01 evaluation 3460: force 1.9613, moment 0.7230, torque Some(-0.2571479550828499)
stage 0.01: IterationLimit, planning tolerances false
smoothing 0.003 evaluation 20: force 37.8304, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 40: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 60: force 37.8355, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 80: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 100: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 120: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 140: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 160: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 180: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 200: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 220: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 240: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 260: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 280: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 300: force 37.8306, moment 1.2049, torque Some(-0.11859782441573186)
smoothing 0.003 evaluation 320: force 37.8306, moment 1.2054, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 340: force 37.8306, moment 1.2055, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 360: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 380: force 37.8306, moment 1.2051, torque Some(-0.11860678031940641)
smoothing 0.003 evaluation 400: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 420: force 37.8306, moment 1.2057, torque Some(-0.11859824965930235)
smoothing 0.003 evaluation 440: force 117.2632, moment 11.8788, torque Some(-7.002389258951794)
smoothing 0.003 evaluation 460: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 480: force 39.2677, moment 8.7208, torque Some(-4.888974263501185)
smoothing 0.003 evaluation 500: force 39.2677, moment 8.7209, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 520: force 39.2677, moment 8.7191, torque Some(-4.8889715130499045)
smoothing 0.003 evaluation 540: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 560: force 39.2677, moment 8.7193, torque Some(-4.888963439160396)
smoothing 0.003 evaluation 580: force 39.2677, moment 8.7173, torque Some(-4.888967451690544)
smoothing 0.003 evaluation 600: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 620: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 640: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 660: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 680: force 39.2698, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 700: force 39.2670, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 720: force 39.2583, moment 8.7208, torque Some(-4.8889741363091455)
