evaluation 31400: force 0.1754921356566387, moment 0.05113790147538237, torque Some(-5.85831002264392e-6)
evaluation 31600: force 0.1754921356566387, moment 0.05113790147538237, torque Some(-5.85831002264392e-6)
evaluation 31800: force 0.1754921356566387, moment 0.05113790147538237, torque Some(-5.85831002264392e-6)
evaluation 32000: force 0.1754921356566387, moment 0.05113790147538237, torque Some(-5.85831002264392e-6)
evaluation 32200: force 0.17549205305791196, moment 0.05113793567608126, torque Some(-5.857632722428008e-6)
evaluation 32400: force 0.17549205305791196, moment 0.05113793567608126, torque Some(-5.857632722428008e-6)
evaluation 32600: force 0.17549205305791196, moment 0.05113793567608126, torque Some(-5.857632722428008e-6)
evaluation 32800: force 0.17549205305791196, moment 0.05113793567608126, torque Some(-5.857632722428008e-6)
evaluation 33000: force 0.17549205305791196, moment 0.05113793567608126, torque Some(-5.857632722428008e-6)
evaluation 33200: force 0.17549205305791196, moment 0.05113793567608126, torque Some(-5.857632722428008e-6)
evaluation 33400: force 0.1754917912063091, moment 0.051137855132155546, torque Some(-5.880419592596553e-6)
evaluation 33600: force 0.1754917912063091, moment 0.05114652190662186, torque Some(-5.880419592596553e-6)
evaluation 33800: force 0.1754917912063091, moment 0.051137855132155546, torque Some(-5.880419592596553e-6)
evaluation 34000: force 0.1754917912063091, moment 0.051137855132155546, torque Some(-5.880419592596553e-6)
evaluation 34200: force 0.17549179120630953, moment 0.051137855132155546, torque Some(-5.880419592596553e-6)
evaluation 34400: force 0.1754917912063091, moment 0.051137855132155546, torque Some(-5.880419592596553e-6)
