evaluation 22200: force 0.15288626690340035, moment 0.04766289365168852, torque Some(-0.0008065017614760084)
evaluation 22400: force 0.15288626690340035, moment 0.04766289365168852, torque Some(-0.0008065017614760084)
evaluation 22600: force 0.15288626690340035, moment 0.04766289365168852, torque Some(-0.0008065017614760084)
evaluation 22800: force 0.15288626690340035, moment 0.04766289365168852, torque Some(-0.0008065017614760084)
evaluation 23000: force 0.15293313201792616, moment 0.047596490783220036, torque Some(-0.0006415674962336748)
evaluation 23200: force 0.15293313201792616, moment 0.047596490783220036, torque Some(-0.0006415674962336748)
evaluation 23400: force 0.15293313201792616, moment 0.047596490783220036, torque Some(-0.0006415674962336748)
evaluation 23600: force 0.15293313201792616, moment 0.047596490783220036, torque Some(-0.0006415674962336748)
evaluation 23800: force 0.15293313201792616, moment 0.047596490783220036, torque Some(-0.0006415674962336748)
evaluation 24000: force 0.15293313201792616, moment 0.047596490783220036, torque Some(-0.0006415674962336748)
evaluation 24200: force 0.15295416818757485, moment 0.047604633334072055, torque Some(-0.0006432224583037272)
evaluation 24400: force 0.15295416818757485, moment 0.04759923380863018, torque Some(-0.0006432224583037272)
evaluation 24600: force 0.15295416818757485, moment 0.047604633334072055, torque Some(-0.0006432224583037272)
evaluation 24800: force 0.15295416818757485, moment 0.047604633334072055, torque Some(-0.0006432224583037272)
evaluation 25000: force 0.15294138339756275, moment 0.047604633334072055, torque Some(-0.0006432224583037272)
evaluation 25200: force 0.15295416818757485, moment 0.047604633334072055, torque Some(-0.0006432224583037272)
evaluation 25400: force 0.15291454057866027, moment 0.047578453636113904, torque Some(-0.0006622851957318598)
evaluation 25600: force 0.15291454057866027, moment 0.04757682333085045, torque Some(-0.0006622921049703745)
evaluation 25800: force 0.15291454057866027, moment 0.047578453636113904, torque Some(-0.0006622921049703745)
evaluation 26000: force 0.15291454057866027, moment 0.047578453636113904, torque Some(-0.0006622921049703745)
evaluation 26200: force 0.15291499861345437, moment 0.047578453636113904, torque Some(-0.0006622921049703745)
evaluation 26400: force 0.15291454057866027, moment 0.047578453636113904, torque Some(-0.0006622921049703745)
evaluation 26600: force 0.1526876524264931, moment 0.04756623530519066, torque Some(-0.0006576214478042353)
evaluation 26800: force 0.1526876524264931, moment 0.04756623530519066, torque Some(-0.0006571552214476029)
evaluation 27000: force 0.1526876524264931, moment 0.04756623530519066, torque Some(-0.0006571552214476029)
evaluation 27200: force 0.1526876524264931, moment 0.04756623530519066, torque Some(-0.0006571552214476029)
evaluation 27400: force 0.1526876524264931, moment 0.04756623530519066, torque Some(-0.0006571552214476029)
evaluation 27600: force 0.15219409611428936, moment 0.047579047142542574, torque Some(-0.0005797023737519336)
evaluation 27800: force 0.15219409611428936, moment 0.047579047142542574, torque Some(-0.0005797023737519336)
evaluation 28000: force 0.15219409611428936, moment 0.047579047142542574, torque Some(-0.0005797023737519336)
evaluation 28200: force 0.15219409611428936, moment 0.047579047142542574, torque Some(-0.0005797023737519336)
evaluation 28400: force 0.15219409611428936, moment 0.047579047142542574, torque Some(-0.0005797023737519336)
evaluation 28600: force 0.15219409611428936, moment 0.047579047142542574, torque Some(-0.0005797023737519336)
evaluation 28800: force 0.15210962693670763, moment 0.0475995689509916, torque Some(-0.0006186183148306768)
evaluation 29000: force 0.15210962693670763, moment 0.047589643508023194, torque Some(-0.0006186183148306768)
evaluation 29200: force 0.15210962693670763, moment 0.0475995689509916, torque Some(-0.0006186183148306768)
evaluation 29400: force 0.15210962693670763, moment 0.0475995689509916, torque Some(-0.0006186183148306768)
evaluation 29600: force 0.15210962693670763, moment 0.0475995689509916, torque Some(-0.0006186183148306768)
evaluation 29800: force 0.15210962693670763, moment 0.0475995689509916, torque Some(-0.0006186183148306768)
evaluation 30000: force 0.152002208115634, moment 0.04760757688611861, torque Some(-0.0005329760512799986)
evaluation 30200: force 0.152002208115634, moment 0.04759409617214083, torque Some(-0.0005327540715485135)
evaluation 30400: force 0.152002208115634, moment 0.04760757688611861, torque Some(-0.0005327540715485135)
evaluation 30600: force 0.152002208115634, moment 0.04760757688611861, torque Some(-0.0005327540715485135)
evaluation 30800: force 0.15200052584259668, moment 0.04760757688611861, torque Some(-0.0005327540715485135)
evaluation 31000: force 0.152002208115634, moment 0.04760757688611861, torque Some(-0.0005327540715485135)
evaluation 31200: force 0.1517190006377696, moment 0.047621154160890855, torque Some(-0.0005506769445342563)
evaluation 31400: force 0.1517190006377696, moment 0.047621154160890855, torque Some(-0.0005506768296437148)
evaluation 31600: force 0.1517190006377696, moment 0.047621154160890855, torque Some(-0.0005506768296437148)
evaluation 31800: force 0.1517190006377696, moment 0.047621154160890855, torque Some(-0.0005506768296437148)
evaluation 32000: force 0.1517190006377696, moment 0.047621154160890855, torque Some(-0.0005506768296437148)
evaluation 32200: force 0.15098153353965688, moment 0.047219205077129844, torque Some(-0.000428531009944777)
evaluation 32400: force 0.15098153353965688, moment 0.047219205077129844, torque Some(-0.000428531009944777)
evaluation 32600: force 0.15098153353965688, moment 0.047219205077129844, torque Some(-0.000428531009944777)
evaluation 32800: force 0.15098153353965688, moment 0.047219205077129844, torque Some(-0.000428531009944777)
evaluation 33000: force 0.15098153353965688, moment 0.047219205077129844, torque Some(-0.000428531009944777)
evaluation 33200: force 0.15098153353965688, moment 0.047219205077129844, torque Some(-0.000428531009944777)
evaluation 33400: force 0.15075187185997704, moment 0.0471259030633675, torque Some(-0.000579308112756971)
evaluation 33600: force 0.15075187185997704, moment 0.047131574771362095, torque Some(-0.000579308112756971)
evaluation 33800: force 0.15075187185997704, moment 0.0471259030633675, torque Some(-0.000579308112756971)
evaluation 34000: force 0.15075187185997704, moment 0.0471259030633675, torque Some(-0.000579308112756971)
evaluation 34200: force 0.15066075532220344, moment 0.0471259030633675, torque Some(-0.000579308112756971)
evaluation 34400: force 0.15075187185997704, moment 0.0471259030633675, torque Some(-0.000579308112756971)
evaluation 34600: force 0.15018975700537315, moment 0.04703797465089177, torque Some(-0.0005550037904171745)
evaluation 34800: force 0.15018975700537315, moment 0.04701336748854934, torque Some(-0.0005550369747007178)
evaluation 35000: force 0.15018975700537315, moment 0.04703797465089177, torque Some(-0.0005550369747007178)
evaluation 35200: force 0.15018975700537315, moment 0.04703797465089177, torque Some(-0.0005550369747007178)
evaluation 35400: force 0.15018968952557363, moment 0.04703797465089177, torque Some(-0.0005550369747007178)
evaluation 35600: force 0.15018975700537315, moment 0.04703797465089177, torque Some(-0.0005550369747007178)
evaluation 35800: force 0.149624713275398, moment 0.04626211349797771, torque Some(-0.0005360070392175231)
evaluation 36000: force 0.149624713275398, moment 0.04626211349797771, torque Some(-0.000536006649741072)
evaluation 36200: force 0.149624713275398, moment 0.04626211349797771, torque Some(-0.000536006649741072)
evaluation 36400: force 0.149624713275398, moment 0.04626211349797771, torque Some(-0.000536006649741072)
evaluation 36600: force 0.149624713275398, moment 0.04626211349797771, torque Some(-0.000536006649741072)
evaluation 36800: force 0.1488473308380018, moment 0.04579002388058839, torque Some(-0.0004361535296624197)
evaluation 37000: force 0.1488473308380018, moment 0.04579002388058839, torque Some(-0.0004361535296624197)
evaluation 37200: force 0.1488473308380018, moment 0.04579002388058839, torque Some(-0.0004361535296624197)
evaluation 37400: force 0.1488473308380018, moment 0.04579002388058839, torque Some(-0.0004361535296624197)
evaluation 37600: force 0.1488473308380018, moment 0.04579002388058839, torque Some(-0.0004361535296624197)
evaluation 37800: force 0.1488473308380018, moment 0.04579002388058839, torque Some(-0.0004361535296624197)
evaluation 38000: force 0.14823375839182368, moment 0.04563837882925337, torque Some(-0.00037650541490719114)
evaluation 38200: force 0.14823375839182368, moment 0.04564806608559646, torque Some(-0.00037650541490719114)
evaluation 38400: force 0.14823375839182368, moment 0.04563837882925337, torque Some(-0.00037650541490719114)
evaluation 38600: force 0.14823375839182368, moment 0.04563837882925337, torque Some(-0.00037650541490719114)
evaluation 38800: force 0.14823375839182457, moment 0.04563837882925337, torque Some(-0.00037650541490719114)
evaluation 39000: force 0.14823375839182368, moment 0.04563837882925337, torque Some(-0.00037650541490719114)
evaluation 39200: force 0.1482373005427932, moment 0.045585128321687485, torque Some(-0.0003609617081017369)
evaluation 39400: force 0.1482373005427932, moment 0.045571648417627175, torque Some(-0.000360739721984249)
evaluation 39600: force 0.1482373005427932, moment 0.045585128321687485, torque Some(-0.000360739721984249)
evaluation 39800: force 0.1482373005427932, moment 0.045585128321687485, torque Some(-0.000360739721984249)
evaluation 40000: force 0.14823561826194967, moment 0.045585128321687485, torque Some(-0.000360739721984249)
evaluation 40200: force 0.1482373005427932, moment 0.045585128321687485, torque Some(-0.000360739721984249)
evaluation 40400: force 0.14776904322495688, moment 0.04531010827639048, torque Some(-0.0002856288008123986)
