smoothing 0.0003 evaluation 140: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 160: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 180: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 200: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 220: force 247.1939, moment 11.8199, torque Some(-9.471163064683028)
smoothing 0.0003 evaluation 240: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 260: force 247.1939, moment 11.8220, torque Some(-9.466198897576747)
smoothing 0.0003 evaluation 280: force 247.1939, moment 11.8183, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 300: force 247.1939, moment 11.8218, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 320: force 247.1939, moment 11.8201, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 340: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 360: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 380: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 400: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 420: force 247.1939, moment 11.8198, torque Some(-9.4711673623065)
smoothing 0.0003 evaluation 440: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 460: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 480: force 46.9640, moment 18.1106, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 500: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 520: force 46.9640, moment 18.1102, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 540: force 46.9640, moment 18.1103, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 560: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 580: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 600: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 620: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 640: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 660: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 680: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 700: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 720: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 740: force 46.9640, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 760: force 46.9640, moment 18.1100, torque Some(-5.062413686642157)
smoothing 0.0003 evaluation 780: force 46.9635, moment 18.1100, torque Some(-5.062444417716427)
smoothing 0.0003 evaluation 800: force 46.9522, moment 18.1100, torque Some(-5.062449222722552)
smoothing 0.0003 evaluation 820: force 46.9643, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 840: force 46.9625, moment 18.1100, torque Some(-5.062695904728123)
smoothing 0.0003 evaluation 860: force 46.9375, moment 18.1100, torque Some(-5.062444872201659)
smoothing 0.0003 evaluation 880: force 38.1174, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 900: force 38.1174, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 920: force 38.1174, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 940: force 38.1174, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 960: force 38.1174, moment 11.8562, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 980: force 38.1174, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1000: force 38.1174, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1020: force 38.1174, moment 11.8556, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1040: force 38.1174, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1060: force 38.1174, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1080: force 38.1174, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1100: force 38.1175, moment 11.8557, torque Some(-4.3899197800284995)
