evaluation 25600: force 0.2087372560586329, moment 0.1194070096369565, torque Some(0.2298654463070401)
evaluation 25800: force 0.2087372560586329, moment 0.1194070096369565, torque Some(0.2298654463070401)
evaluation 26000: force 0.2087372560586329, moment 0.1194070096369565, torque Some(0.2298654463070401)
evaluation 26200: force 0.20875826545063278, moment 0.11939397905261886, torque Some(0.2298654463070401)
evaluation 26400: force 0.2087372560586329, moment 0.1194070096369565, torque Some(0.2298654463070401)
evaluation 26600: force 0.20848442022628344, moment 0.11935343543287102, torque Some(0.22980313335910518)
evaluation 26800: force 0.20848442022628344, moment 0.11935343543287102, torque Some(0.22980313335910518)
evaluation 27000: force 0.20848442022628344, moment 0.11935343543287102, torque Some(0.22980313335910518)
evaluation 27200: force 0.20848442022628344, moment 0.11935343543287102, torque Some(0.22980313335910518)
evaluation 27400: force 0.20776263663623307, moment 0.11960079881821342, torque Some(0.22980313335910518)
evaluation 27600: force 0.20785615199182136, moment 0.11915543613211108, torque Some(0.22962316910398034)
evaluation 27800: force 0.20785615199182136, moment 0.11915543613211108, torque Some(0.22962316910398034)
evaluation 28000: force 0.20785615199182136, moment 0.11915543613211108, torque Some(0.22962316910398034)
evaluation 28200: force 0.20785615199182136, moment 0.11915543613211108, torque Some(0.22962316910398034)
evaluation 28400: force 0.20785615199182136, moment 0.11915543613211108, torque Some(0.22962316910398034)
evaluation 28600: force 0.20785615199182136, moment 0.11915543613211108, torque Some(0.22962316910398034)
evaluation 28800: force 0.206087710011236, moment 0.11856211121429208, torque Some(0.2289282625561157)
evaluation 29000: force 0.206087710011236, moment 0.11856211121429208, torque Some(0.22892826434062466)
evaluation 29200: force 0.206087710011236, moment 0.11856211121429208, torque Some(0.2289282625561157)
evaluation 29400: force 0.206087710011236, moment 0.11856211121429208, torque Some(0.2289282625561157)
evaluation 29600: force 0.206087710011236, moment 0.11856211121429208, torque Some(0.2289282625561157)
evaluation 29800: force 0.206087710011236, moment 0.11856211121429208, torque Some(0.2289282625561157)
evaluation 30000: force 0.2056550012701879, moment 0.11839249023363588, torque Some(0.2287432031270858)
evaluation 30200: force 0.2056550012701879, moment 0.11839249023363588, torque Some(0.2287432027805975)
evaluation 30400: force 0.2056550012701879, moment 0.11839249023363588, torque Some(0.2287432031270858)
evaluation 30600: force 0.2056550012701879, moment 0.11839249023363588, torque Some(0.2287432031270858)
evaluation 30800: force 0.2052236384614702, moment 0.11862639321334709, torque Some(0.2287432031270858)
evaluation 31000: force 0.2056550012701879, moment 0.11839249023363588, torque Some(0.2287432031270858)
evaluation 31200: force 0.20518775021498956, moment 0.1181928875960636, torque Some(0.2285361381432955)
evaluation 31400: force 0.20518775021498956, moment 0.1181928875960636, torque Some(0.2285361381432955)
evaluation 31600: force 0.20518775021498956, moment 0.1181928875960636, torque Some(0.2285361381432955)
evaluation 31800: force 0.20518775021498956, moment 0.1181928875960636, torque Some(0.2285361381432955)
evaluation 32000: force 0.20516896968792384, moment 0.11819927276192556, torque Some(0.2285361381432955)
evaluation 32200: force 0.20365772708266705, moment 0.11769358329529152, torque Some(0.22815551126101874)
evaluation 32400: force 0.20365772708266705, moment 0.11769358329529152, torque Some(0.22815551126101874)
evaluation 32600: force 0.20365772708266705, moment 0.11769358329529152, torque Some(0.22815551126101874)
evaluation 32800: force 0.20365772708266705, moment 0.11769358329529152, torque Some(0.22815551126101874)
evaluation 33000: force 0.20365772708266705, moment 0.11769358329529152, torque Some(0.22815551126101874)
evaluation 33200: force 0.20365772708266705, moment 0.11769358329529152, torque Some(0.22815551126101874)
evaluation 33400: force 0.20323574558141227, moment 0.1175094870141985, torque Some(0.22804257897875407)
evaluation 33600: force 0.20323574558141227, moment 0.1175094870141985, torque Some(0.22804257897875407)
evaluation 33800: force 0.20323574558141227, moment 0.1175094870141985, torque Some(0.22804257897875407)
evaluation 34000: force 0.20323574558141227, moment 0.1175094870141985, torque Some(0.22804257897875407)
evaluation 34200: force 0.20292908446304053, moment 0.11756059441939004, torque Some(0.22804257897875407)
evaluation 34400: force 0.20323574558141227, moment 0.1175094870141985, torque Some(0.22804257897875407)
