smoothing 0.003 evaluation 2880: force 2.1149, moment 0.5218, torque Some(7.985756910643647e-5)
smoothing 0.003 evaluation 2900: force 1.5299, moment 0.4487, torque Some(-0.010052296678649375)
smoothing 0.003 evaluation 2920: force 1.5298, moment 0.4487, torque Some(-0.010052296678649375)
smoothing 0.003 evaluation 2940: force 1.5299, moment 0.4487, torque Some(-0.010052296678649375)
smoothing 0.003 evaluation 2960: force 1.5299, moment 0.4487, torque Some(-0.010052296678649375)
smoothing 0.003 evaluation 2980: force 1.5299, moment 0.4487, torque Some(-0.010052296678649375)
smoothing 0.003 evaluation 3000: force 1.5299, moment 0.4487, torque Some(-0.010052296678649375)
smoothing 0.003 evaluation 3020: force 1.5299, moment 0.4487, torque Some(-0.010052296678649375)
smoothing 0.003 evaluation 3040: force 1.5299, moment 0.4487, torque Some(-0.010052299709178092)
smoothing 0.003 evaluation 3060: force 1.5299, moment 0.4487, torque Some(-0.010052296678649375)
smoothing 0.003 evaluation 3080: force 1.5299, moment 0.4487, torque Some(-0.010052134487031683)
smoothing 0.003 evaluation 3100: force 1.5299, moment 0.4487, torque Some(-0.010052296678649375)
smoothing 0.003 evaluation 3120: force 1.5299, moment 0.4487, torque Some(-0.010050606279817131)
smoothing 0.003 evaluation 3140: force 1.5299, moment 0.4487, torque Some(-0.010052296678649375)
smoothing 0.003 evaluation 3160: force 1.5299, moment 0.4487, torque Some(-0.010052295822771784)
smoothing 0.003 evaluation 3180: force 1.5299, moment 0.4487, torque Some(-0.010052296678649375)
smoothing 0.003 evaluation 3200: force 1.3533, moment 0.3549, torque Some(-0.0013581002162740274)
smoothing 0.003 evaluation 3220: force 1.3533, moment 0.3549, torque Some(-0.0013581002162740274)
smoothing 0.003 evaluation 3240: force 1.3533, moment 0.3549, torque Some(-0.0013581002162740274)
smoothing 0.003 evaluation 3260: force 1.3533, moment 0.3549, torque Some(-0.0013581002162740274)
smoothing 0.003 evaluation 3280: force 1.3533, moment 0.3549, torque Some(-0.0013581002162740274)
smoothing 0.003 evaluation 3300: force 1.3533, moment 0.3549, torque Some(-0.0013581002162740274)
smoothing 0.003 evaluation 3320: force 1.3533, moment 0.3549, torque Some(-0.0013581002162740274)
smoothing 0.003 evaluation 3340: force 1.3533, moment 0.3549, torque Some(-0.001358057348553654)
smoothing 0.003 evaluation 3360: force 1.3533, moment 0.3549, torque Some(-0.0013581002162740274)
smoothing 0.003 evaluation 3380: force 1.3533, moment 0.3549, torque Some(-0.0013581002162740274)
smoothing 0.003 evaluation 3400: force 1.3533, moment 0.3549, torque Some(-0.001358123977005521)
smoothing 0.003 evaluation 3420: force 1.3533, moment 0.3549, torque Some(-0.0013581002162740274)
smoothing 0.003 evaluation 3440: force 1.3533, moment 0.3549, torque Some(-0.0013581030390987792)
smoothing 0.003 evaluation 3460: force 1.3533, moment 0.3549, torque Some(-0.0013581002162740274)
smoothing 0.003 evaluation 3480: force 1.2419, moment 0.3401, torque Some(-0.0009616293306666801)
smoothing 0.003 evaluation 3500: force 1.2419, moment 0.3401, torque Some(-0.0009616293306666801)
smoothing 0.003 evaluation 3520: force 1.2419, moment 0.3401, torque Some(-0.0009616293306666801)
smoothing 0.003 evaluation 3540: force 1.2419, moment 0.3401, torque Some(-0.0009616293306666801)
smoothing 0.003 evaluation 3560: force 1.2419, moment 0.3401, torque Some(-0.0009616293306666801)
smoothing 0.003 evaluation 3580: force 1.2419, moment 0.3401, torque Some(-0.0009616293306666801)
smoothing 0.003 evaluation 3600: force 1.2419, moment 0.3401, torque Some(-0.0009616293306666801)
smoothing 0.003 evaluation 3620: force 1.2419, moment 0.3401, torque Some(-0.0009616241811374326)
smoothing 0.003 evaluation 3640: force 1.2419, moment 0.3401, torque Some(-0.0009616293306666801)
smoothing 0.003 evaluation 3660: force 1.2419, moment 0.3401, torque Some(-0.0009617941136612629)
smoothing 0.003 evaluation 3680: force 1.2419, moment 0.3401, torque Some(-0.0009616293306666801)
smoothing 0.003 evaluation 3700: force 1.2419, moment 0.3401, torque Some(-0.0009633224215143121)
smoothing 0.003 evaluation 3720: force 1.2419, moment 0.3401, torque Some(-0.0009616293306666801)
smoothing 0.003 evaluation 3740: force 1.2419, moment 0.3401, torque Some(-0.0009616303772128632)
smoothing 0.003 evaluation 3760: force 1.2419, moment 0.3401, torque Some(-0.0009616293306667911)
smoothing 0.003 evaluation 3780: force 1.0869, moment 0.3116, torque Some(-0.008107978587418463)
smoothing 0.003 evaluation 3800: force 1.0869, moment 0.3116, torque Some(-0.008110371224160876)
smoothing 0.003 evaluation 3820: force 1.0869, moment 0.3116, torque Some(-0.00811042230563018)
smoothing 0.003 evaluation 3840: force 1.0869, moment 0.3116, torque Some(-0.00811046130280317)
smoothing 0.003 evaluation 3860: force 1.0869, moment 0.3116, torque Some(-0.00811042230563018)
smoothing 0.003 evaluation 3880: force 1.0869, moment 0.3116, torque Some(-0.00811042230563018)
smoothing 0.003 evaluation 3900: force 1.0869, moment 0.3116, torque Some(-0.00811042230563018)
smoothing 0.003 evaluation 3920: force 1.0869, moment 0.3116, torque Some(-0.00811042230563018)
smoothing 0.003 evaluation 3940: force 1.0869, moment 0.3116, torque Some(-0.00811042230563018)
smoothing 0.003 evaluation 3960: force 1.0869, moment 0.3116, torque Some(-0.00811042230563018)
smoothing 0.003 evaluation 3980: force 1.0869, moment 0.3116, torque Some(-0.00811042230563018)
smoothing 0.003 evaluation 4000: force 1.0869, moment 0.3116, torque Some(-0.00811042230563018)
smoothing 0.003 evaluation 4020: force 1.0869, moment 0.3116, torque Some(-0.008110545590349724)
smoothing 0.003 evaluation 4040: force 1.0869, moment 0.3116, torque Some(-0.00811042230563018)
smoothing 0.003 evaluation 4060: force 0.8852, moment 0.2950, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4080: force 0.8852, moment 0.2950, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4100: force 0.8852, moment 0.2952, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4120: force 0.8852, moment 0.2950, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4140: force 0.8852, moment 0.2950, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4160: force 0.8852, moment 0.2950, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4180: force 0.8852, moment 0.2950, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4200: force 0.8852, moment 0.2950, torque Some(-0.0025634982624770375)
smoothing 0.003 evaluation 4220: force 0.8852, moment 0.2950, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4240: force 0.8852, moment 0.2950, torque Some(-0.0025629578442323275)
smoothing 0.003 evaluation 4260: force 0.8852, moment 0.2950, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4280: force 0.8852, moment 0.2950, torque Some(-0.002563480073308644)
smoothing 0.003 evaluation 4300: force 0.8852, moment 0.2950, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4320: force 0.8852, moment 0.2950, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4340: force 0.8852, moment 0.2952, torque Some(-0.0025634681307418195)
smoothing 0.003 evaluation 4360: force 0.7972, moment 0.4546, torque Some(-0.000507058948911121)
smoothing 0.003 evaluation 4380: force 0.7972, moment 0.4546, torque Some(-0.000507058948911121)
smoothing 0.003 evaluation 4400: force 0.7972, moment 0.4546, torque Some(-0.000507058948911121)
smoothing 0.003 evaluation 4420: force 0.7972, moment 0.4546, torque Some(-0.000507058948911121)
smoothing 0.003 evaluation 4440: force 0.7972, moment 0.4546, torque Some(-0.000507058948911121)
smoothing 0.003 evaluation 4460: force 0.7972, moment 0.4546, torque Some(-0.000507058948911121)
smoothing 0.003 evaluation 4480: force 0.7972, moment 0.4546, torque Some(-0.000507058948911121)
smoothing 0.003 evaluation 4500: force 0.7972, moment 0.4546, torque Some(-0.0005070995163450887)
smoothing 0.003 evaluation 4520: force 0.7972, moment 0.4546, torque Some(-0.00050632091181535)
smoothing 0.003 evaluation 4540: force 0.7972, moment 0.4546, torque Some(-0.000507058948911121)
smoothing 0.003 evaluation 4560: force 0.7972, moment 0.4546, torque Some(-0.0005069632550308567)
smoothing 0.003 evaluation 4580: force 0.7972, moment 0.4546, torque Some(-0.000507058948911121)
smoothing 0.003 evaluation 4600: force 0.7972, moment 0.4546, torque Some(-0.0005070253769469124)
smoothing 0.003 evaluation 4620: force 0.7972, moment 0.4546, torque Some(-0.000507058948911121)
smoothing 0.003 evaluation 4640: force 0.7942, moment 0.2500, torque Some(-0.0005449121338922946)
smoothing 0.003 evaluation 4660: force 0.7942, moment 0.2500, torque Some(-0.0005449121338922946)
smoothing 0.003 evaluation 4680: force 0.7942, moment 0.2503, torque Some(-0.0005449121338922946)
smoothing 0.003 evaluation 4700: force 0.7942, moment 0.2500, torque Some(-0.0005449121338922946)
