smoothing 0.00001 evaluation 4200: force 0.0045, moment 0.0012, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4220: force 0.0904, moment 0.0262, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4240: force 0.0057, moment 0.0025, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4260: force 0.0009, moment 0.0004, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4280: force 0.0483, moment 0.0127, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4300: force 0.0042, moment 0.0012, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4320: force 0.0009, moment 0.0004, torque Some(0.10756259276075841)
smoothing 0.00001 evaluation 4340: force 0.0027, moment 0.0007, torque Some(0.10745247932259683)
smoothing 0.00001 evaluation 4360: force 0.0011, moment 0.0005, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4380: force 0.0030, moment 0.0009, torque Some(0.10721310511350923)
smoothing 0.00001 evaluation 4400: force 0.0011, moment 0.0005, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4420: force 0.0011, moment 0.0017, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4440: force 0.0011, moment 0.0005, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4460: force 0.0306, moment 0.0102, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4480: force 0.0011, moment 0.0005, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4500: force 0.0011, moment 0.0005, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4520: force 0.0057, moment 0.0017, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4540: force 0.0011, moment 0.0005, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4560: force 0.0322, moment 0.0390, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4580: force 0.0504, moment 0.0176, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4600: force 0.0012, moment 0.0012, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4620: force 0.0010, moment 0.0005, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4640: force 0.0311, moment 0.0086, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4660: force 0.0011, moment 0.0005, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4680: force 0.0013, moment 0.0005, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4700: force 0.0059, moment 0.0016, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4720: force 0.0011, moment 0.0005, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4740: force 0.0380, moment 0.0364, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4760: force 0.0241, moment 0.0076, torque Some(0.10745317393181164)
smoothing 0.00001 evaluation 4780: force 0.0086, moment 0.0031, torque Some(0.10705517264095565)
smoothing 0.00001 evaluation 4800: force 0.0086, moment 0.0031, torque Some(0.10705565071186096)
smoothing 0.00001 evaluation 4820: force 0.0086, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 4840: force 0.1007, moment 0.0416, torque Some(0.11619138797923956)
smoothing 0.00001 evaluation 4860: force 0.0086, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 4880: force 0.0086, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 4900: force 0.0086, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 4920: force 0.0327, moment 0.0314, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 4940: force 0.0501, moment 0.0136, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 4960: force 0.0086, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 4980: force 0.0086, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5000: force 0.0242, moment 0.0127, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5020: force 0.0086, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5040: force 0.0084, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5060: force 0.0110, moment 0.0034, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5080: force 0.0086, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5100: force 0.0274, moment 0.0406, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5120: force 0.0477, moment 0.0214, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5140: force 0.0086, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5160: force 0.0086, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5180: force 0.0590, moment 0.0214, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5200: force 0.0086, moment 0.0031, torque Some(0.10705538641444678)
smoothing 0.00001 evaluation 5220: force 0.0503, moment 0.0197, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5240: force 0.0039, moment 0.0007, torque Some(0.10698043673459035)
smoothing 0.00001 evaluation 5260: force 0.0520, moment 0.0234, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5280: force 0.0822, moment 0.0063, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5300: force 0.0114, moment 0.0045, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5320: force 0.0046, moment 0.0018, torque Some(0.10698032179939432)
