evaluation 34000: force 0.1590102644789735, moment 0.0816484582254986, torque Some(0.25775987042058546)
evaluation 34200: force 0.1590102644789735, moment 0.08164757968868036, torque Some(0.25775987042058546)
evaluation 34400: force 0.1590102644789735, moment 0.0816484582254986, torque Some(0.25775987042058546)
evaluation 34600: force 0.15119233533279994, moment 0.07847871742313942, torque Some(0.2681844028670776)
evaluation 34800: force 0.15119233533279994, moment 0.07847871742313942, torque Some(0.26818439268018657)
evaluation 35000: force 0.15119233533279994, moment 0.07847871742313942, torque Some(0.2681844028670776)
evaluation 35200: force 0.15119233533279994, moment 0.07847871742313942, torque Some(0.2681844028670776)
evaluation 35400: force 0.15119233533279994, moment 0.07847269402693413, torque Some(0.2681844028670776)
evaluation 35600: force 0.15119233533279994, moment 0.07847871742313942, torque Some(0.2681844028670776)
evaluation 35800: force 0.14837423241086697, moment 0.07050242529038815, torque Some(0.2688394231025381)
evaluation 36000: force 0.14837423241086697, moment 0.07050242529038815, torque Some(0.2688394231025381)
evaluation 36200: force 0.14837423241086697, moment 0.07050242529038815, torque Some(0.2688394231025381)
evaluation 36400: force 0.14837423241086697, moment 0.07050242529038815, torque Some(0.2688394231025381)
evaluation 36600: force 0.14832808628088842, moment 0.07052928210548653, torque Some(0.2688394231025381)
evaluation 36800: force 0.14375742919991016, moment 0.06891647267568558, torque Some(0.27072194862855636)
evaluation 37000: force 0.14375742919991016, moment 0.06891647267568558, torque Some(0.27072194862855636)
evaluation 37200: force 0.14375742919991016, moment 0.06891647267568558, torque Some(0.27072194862855636)
evaluation 37400: force 0.14375742919991016, moment 0.06891647267568558, torque Some(0.27072194862855636)
evaluation 37600: force 0.14375742919991016, moment 0.06891647267568558, torque Some(0.27072194862855636)
evaluation 37800: force 0.1436305133686825, moment 0.06891647267568558, torque Some(0.27072194862855636)
evaluation 38000: force 0.13806718954843064, moment 0.06731770103425448, torque Some(0.2755606903056857)
evaluation 38200: force 0.13806718954843064, moment 0.06731770103425448, torque Some(0.2755606903056857)
evaluation 38400: force 0.13806718954843064, moment 0.06731770103425448, torque Some(0.2755606903056857)
evaluation 38600: force 0.13806718954843064, moment 0.06731770103425448, torque Some(0.2755606903056857)
evaluation 38800: force 0.13806718954843064, moment 0.06727779712199564, torque Some(0.2755606903056857)
evaluation 39000: force 0.13806718954843064, moment 0.06731770103425448, torque Some(0.2755606903056857)
evaluation 39200: force 0.13736042981994917, moment 0.06777432941489375, torque Some(0.27681358754540625)
evaluation 39400: force 0.13736042981994917, moment 0.06777432941489375, torque Some(0.2768131696218354)
evaluation 39600: force 0.13736042981994917, moment 0.06777432941489375, torque Some(0.27681358754540625)
evaluation 39800: force 0.13736042981994917, moment 0.06777432941489375, torque Some(0.27681358754540625)
evaluation 40000: force 0.13736042981994917, moment 0.06777469073488684, torque Some(0.27681358754540625)
evaluation 40200: force 0.13736042981994917, moment 0.06777432941489375, torque Some(0.27681358754540625)
evaluation 40400: force 0.1344754571996902, moment 0.0680468857140202, torque Some(0.2802674253607981)
evaluation 40600: force 0.1344754571996902, moment 0.0680468857140202, torque Some(0.2802674253607981)
evaluation 40800: force 0.1344754571996902, moment 0.0680468857140202, torque Some(0.2802674253607981)
evaluation 41000: force 0.1344754571996902, moment 0.0680468857140202, torque Some(0.2802674253607981)
evaluation 41200: force 0.13455556985958103, moment 0.06804122332755416, torque Some(0.2802674253607981)
