smoothing 0.003 evaluation 4200: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4220: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4240: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4260: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4280: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4300: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4320: force 5.1890, moment 0.9721, torque Some(-0.3200990589487327)
smoothing 0.003 evaluation 4340: force 4.8106, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4360: force 4.8115, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4380: force 4.8111, moment 0.6238, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4400: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4420: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4440: force 4.8111, moment 0.6239, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4460: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4480: force 4.8111, moment 0.6242, torque Some(-0.2716468755070369)
smoothing 0.003 evaluation 4500: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4520: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4540: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4560: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4580: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4600: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4620: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4640: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4660: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4680: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4700: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4720: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4740: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4760: force 4.8111, moment 0.6242, torque Some(-0.27166024192488814)
smoothing 0.003 evaluation 4780: force 4.5367, moment 1.1123, torque Some(-0.22386360703868213)
smoothing 0.003 evaluation 4800: force 4.5364, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 4820: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 4840: force 4.5367, moment 1.1122, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 4860: force 4.5367, moment 1.1123, torque Some(-0.22392010747618274)
smoothing 0.003 evaluation 4880: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 4900: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 4920: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 4940: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 4960: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 4980: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5000: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5020: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5040: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5060: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5080: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5100: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5120: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5140: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5160: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5180: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5200: force 4.5367, moment 1.1123, torque Some(-0.22384871977087073)
smoothing 0.003 evaluation 5220: force 4.4754, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5240: force 4.4759, moment 0.5979, torque Some(-0.19989864674307745)
smoothing 0.003 evaluation 5260: force 4.4759, moment 0.5984, torque Some(-0.1998846962825125)
smoothing 0.003 evaluation 5280: force 4.4759, moment 0.5982, torque Some(-0.19986298083446652)
smoothing 0.003 evaluation 5300: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5320: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5340: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5360: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5380: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5400: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5420: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5440: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5460: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5480: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5500: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5520: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5540: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5560: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5580: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5600: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5620: force 4.4759, moment 0.5982, torque Some(-0.19989792286827157)
smoothing 0.003 evaluation 5640: force 4.3779, moment 0.5422, torque Some(-0.19131353039470378)
smoothing 0.003 evaluation 5660: force 4.3788, moment 0.5422, torque Some(-0.1913131759999942)
smoothing 0.003 evaluation 5680: force 4.3784, moment 0.5417, torque Some(-0.19133314418730185)
smoothing 0.003 evaluation 5700: force 4.3784, moment 0.5422, torque Some(-0.1913131759999942)
smoothing 0.003 evaluation 5720: force 4.3784, moment 0.5422, torque Some(-0.1913131759999942)
smoothing 0.003 evaluation 5740: force 4.3784, moment 0.5417, torque Some(-0.1913131759999942)
smoothing 0.003 evaluation 5760: force 4.3784, moment 0.5422, torque Some(-0.1913131759999942)
smoothing 0.003 evaluation 5780: force 4.3784, moment 0.5422, torque Some(-0.1913131759999942)
smoothing 0.003 evaluation 5800: force 4.3784, moment 0.5422, torque Some(-0.1913131759999942)
smoothing 0.003 evaluation 5820: force 4.3784, moment 0.5422, torque Some(-0.1913131759999942)
smoothing 0.003 evaluation 5840: force 4.3784, moment 0.5422, torque Some(-0.1913131759999942)
smoothing 0.003 evaluation 5860: force 4.3784, moment 0.5422, torque Some(-0.1913131759999942)
smoothing 0.003 evaluation 5880: force 4.3784, moment 0.5422, torque Some(-0.1913131759999942)
