evaluation 39000: force 0.09675526208887948, moment 0.04160731758672947, torque Some(0.2729191624998861)
evaluation 39200: force 0.09573304056306274, moment 0.041257900106660986, torque Some(0.27319502933011236)
evaluation 39400: force 0.09635794097304215, moment 0.0412564334715877, torque Some(0.27319502933011236)
evaluation 39600: force 0.09573304056306274, moment 0.041257900106660986, torque Some(0.27319502933011236)
evaluation 39800: force 0.09573304056306274, moment 0.041257900106660986, torque Some(0.27319502933011236)
evaluation 40000: force 0.09573304056306274, moment 0.041257900106660986, torque Some(0.27319502933011236)
evaluation 40200: force 0.09573304056306274, moment 0.041257900106660986, torque Some(0.27319502933011236)
evaluation 40400: force 0.09513640115656326, moment 0.040621892691799916, torque Some(0.272871664536069)
evaluation 40600: force 0.09513640326418361, moment 0.040621735866869624, torque Some(0.272871664536069)
evaluation 40800: force 0.09513640115656326, moment 0.040621892691799916, torque Some(0.272871664536069)
evaluation 41000: force 0.09513640115656326, moment 0.040621892691799916, torque Some(0.272871664536069)
evaluation 41200: force 0.09513640115656326, moment 0.040621892691799916, torque Some(0.272871664536069)
evaluation 41400: force 0.10823620047252196, moment 0.04087257805579817, torque Some(0.26987924739586444)
evaluation 41600: force 0.10823620047252196, moment 0.04087257805579817, torque Some(0.26987924739586444)
evaluation 41800: force 0.10823620047252196, moment 0.04087519512582257, torque Some(0.26987924739586444)
evaluation 42000: force 0.10823620047252196, moment 0.04087257805579817, torque Some(0.26987924739586444)
evaluation 42200: force 0.10823620047252196, moment 0.04087257805579817, torque Some(0.26987924739586444)
evaluation 42400: force 0.10823620047252196, moment 0.04087257805579817, torque Some(0.26987924739586444)
evaluation 42600: force 0.09619651682848562, moment 0.040970922504711495, torque Some(0.26985182453538487)
evaluation 42800: force 0.09619651682848562, moment 0.040970922504711495, torque Some(0.26985182280648495)
evaluation 43000: force 0.09619709243750113, moment 0.040970922504711495, torque Some(0.26985182453538487)
evaluation 43200: force 0.09619651682848562, moment 0.040970922504711495, torque Some(0.26985182453538487)
evaluation 43400: force 0.09619651682848562, moment 0.040970922504711495, torque Some(0.26985182453538487)
evaluation 43600: force 0.09619651682848562, moment 0.040970922504711495, torque Some(0.26985182453538487)
evaluation 43800: force 0.09593892802746319, moment 0.040956881002997915, torque Some(0.269776430752398)
