evaluation 31400: force 0.06867648467500272, moment 0.022222667531719288, torque Some(-0.00015821566129203823)
evaluation 31600: force 0.06867648467500272, moment 0.022222667531719288, torque Some(-0.00015821566129203823)
evaluation 31800: force 0.06867648467500272, moment 0.022222667531719288, torque Some(-0.00015821566129203823)
evaluation 32000: force 0.06867648467500272, moment 0.022222667531719288, torque Some(-0.00015821566129203823)
evaluation 32200: force 0.06867648467500272, moment 0.022222667531719288, torque Some(-0.00015821566129203823)
evaluation 32400: force 0.06716422720773828, moment 0.022015926000339157, torque Some(-0.00013345548104304328)
evaluation 32600: force 0.06716422720773828, moment 0.022015926000339157, torque Some(-0.0001338924492038096)
evaluation 32800: force 0.06716422720773828, moment 0.02203635682406324, torque Some(-0.0001338924492038096)
evaluation 33000: force 0.06716422720773828, moment 0.022015926000339157, torque Some(-0.0001338924492038096)
evaluation 33200: force 0.06716422720773828, moment 0.022015926000339157, torque Some(-0.0001338924492038096)
evaluation 33400: force 0.06716422720773828, moment 0.022015926000339157, torque Some(-0.0001338924492038096)
evaluation 33600: force 0.06716422720773828, moment 0.022015926000339157, torque Some(-0.0001338924492038096)
evaluation 33800: force 0.06716422720773828, moment 0.022015926000339157, torque Some(-0.0001338924492038096)
evaluation 34000: force 0.06716527955450001, moment 0.022015926000339157, torque Some(-0.0001338924492038096)
evaluation 34200: force 0.06716422720773828, moment 0.022015926000339157, torque Some(-0.0001338924492038096)
evaluation 34400: force 0.06716422720773828, moment 0.022015926000339157, torque Some(-0.0001338924492038096)
evaluation 34600: force 0.0671081721353692, moment 0.0220143655656357, torque Some(-6.0759018974732015e-5)
evaluation 34800: force 0.0671081721353692, moment 0.0220143655656357, torque Some(-6.0759018974732015e-5)
evaluation 35000: force 0.0671081721353692, moment 0.0220143655656357, torque Some(-6.0759018974732015e-5)
evaluation 35200: force 0.0671081721353692, moment 0.02201465031274026, torque Some(-6.0759018974732015e-5)
evaluation 35400: force 0.0671081721353692, moment 0.0220143655656357, torque Some(-6.0759018974732015e-5)
evaluation 35600: force 0.0671081721353692, moment 0.0220143655656357, torque Some(-6.0759018974732015e-5)
evaluation 35800: force 0.0671081721353692, moment 0.0220143655656357, torque Some(-6.0759018974732015e-5)
evaluation 36000: force 0.0671081721353692, moment 0.0220143655656357, torque Some(-6.0759018974732015e-5)
evaluation 36200: force 0.0671081721353692, moment 0.0220143655656357, torque Some(-6.0759018974732015e-5)
evaluation 36400: force 0.0671081721353692, moment 0.0220143655656357, torque Some(-6.0759018974732015e-5)
evaluation 36600: force 0.0671081721353692, moment 0.0220143655656357, torque Some(-6.0759018974732015e-5)
evaluation 36800: force 0.0671081721353692, moment 0.0220143655656357, torque Some(-6.0759018974732015e-5)
evaluation 37000: force 0.06696097574702814, moment 0.02200105975366752, torque Some(-3.554006117978403e-5)
evaluation 37200: force 0.06696097574702814, moment 0.02200105975366752, torque Some(-3.554006117978403e-5)
evaluation 37400: force 0.06696097574702814, moment 0.022012149197683836, torque Some(-3.554006117978403e-5)
evaluation 37600: force 0.06696097574702814, moment 0.02200105975366752, torque Some(-3.554006117978403e-5)
evaluation 37800: force 0.06696097574702814, moment 0.02200105975366752, torque Some(-3.554006117978403e-5)
evaluation 38000: force 0.06696097574702814, moment 0.02200105975366752, torque Some(-3.554006117978403e-5)
evaluation 38200: force 0.06696097574702814, moment 0.02200105975366752, torque Some(-3.554006117978403e-5)
evaluation 38400: force 0.06696097574702814, moment 0.02200105975366752, torque Some(-3.554006117978403e-5)
evaluation 38600: force 0.06696216062934307, moment 0.02200105975366752, torque Some(-3.554006117978403e-5)
evaluation 38800: force 0.06696097574702814, moment 0.02200105975366752, torque Some(-3.554006117978403e-5)
