smoothing 0.00001 evaluation 2980: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3000: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3020: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3040: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3060: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3080: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3100: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3120: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3140: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3160: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3180: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3200: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3220: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3240: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3260: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3280: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3300: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3320: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3340: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3360: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3380: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3400: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3420: force 1.4820, moment 0.5356, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3440: force 1.4820, moment 0.5359, torque Some(-0.0007261476241446907)
smoothing 0.00001 evaluation 3460: force 1.4825, moment 0.5357, torque Some(-0.0007261476241444687)
smoothing 0.00001 evaluation 3480: force 1.0068, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3500: force 1.0172, moment 0.3786, torque Some(-0.012885120500686353)
