evaluation 23000: force 0.208896087820019, moment 0.09141372338550596, torque Some(0.24258508441616963)
evaluation 23200: force 0.208896087820019, moment 0.09141372338550596, torque Some(0.24258508441616963)
evaluation 23400: force 0.208896087820019, moment 0.09141372338550596, torque Some(0.24258508441616963)
evaluation 23600: force 0.208896087820019, moment 0.09141372338550596, torque Some(0.24258508441616963)
evaluation 23800: force 0.208896087820019, moment 0.09141372338550596, torque Some(0.24258508441616963)
evaluation 24000: force 0.208896087820019, moment 0.09141372338550596, torque Some(0.24258508441616963)
evaluation 24200: force 0.16002987326216137, moment 0.09158821013782752, torque Some(0.2427563515244104)
evaluation 24400: force 0.16002987326216137, moment 0.09158821013782752, torque Some(0.2427563515244104)
evaluation 24600: force 0.16002987326216137, moment 0.09158821013782752, torque Some(0.2427563515244104)
evaluation 24800: force 0.16002987326216137, moment 0.09158821013782752, torque Some(0.2427563515244104)
evaluation 25000: force 0.16002987326216137, moment 0.09154408187851558, torque Some(0.2427563515244104)
evaluation 25200: force 0.16002987326216137, moment 0.09158821013782752, torque Some(0.2427563515244104)
evaluation 25400: force 0.1600458920811927, moment 0.09160869334314875, torque Some(0.24276167110316524)
evaluation 25600: force 0.1600458920811927, moment 0.09160869334314875, torque Some(0.2427616707559537)
evaluation 25800: force 0.1600458920811927, moment 0.09160869334314875, torque Some(0.24276167110316524)
evaluation 26000: force 0.1600458920811927, moment 0.09160869334314875, torque Some(0.24276167110316524)
evaluation 26200: force 0.1600458920811927, moment 0.09179454520942998, torque Some(0.24276167110316524)
evaluation 26400: force 0.1600458920811927, moment 0.09160869334314875, torque Some(0.24276167110316524)
evaluation 26600: force 0.16005998198479005, moment 0.09165549367642364, torque Some(0.24277791005272667)
evaluation 26800: force 0.16005998198479005, moment 0.09165549367642364, torque Some(0.24277791005272667)
evaluation 27000: force 0.16005998198479005, moment 0.09165549367642364, torque Some(0.24277791005272667)
evaluation 27200: force 0.16005998198479005, moment 0.09165549367642364, torque Some(0.24277791005272667)
evaluation 27400: force 0.15997986974974338, moment 0.09166148805002092, torque Some(0.24277791005272667)
evaluation 27600: force 0.1600298656958961, moment 0.09167023393265043, torque Some(0.24282547434801496)
evaluation 27800: force 0.1600298656958961, moment 0.09167023393265043, torque Some(0.24282547434801496)
evaluation 28000: force 0.1600298656958961, moment 0.09167023393265043, torque Some(0.24282547434801496)
evaluation 28200: force 0.1600298656958961, moment 0.09167023393265043, torque Some(0.24282547434801496)
evaluation 28400: force 0.1600298656958961, moment 0.09167023393265043, torque Some(0.24282547434801496)
evaluation 28600: force 0.16002845350090666, moment 0.09167023393265043, torque Some(0.24282547434801496)
evaluation 28800: force 0.15991995272139836, moment 0.09152052153199255, torque Some(0.24296670113983113)
evaluation 29000: force 0.15991995272139836, moment 0.09152052153199255, torque Some(0.24296670113983113)
evaluation 29200: force 0.15991995272139836, moment 0.09152052153199255, torque Some(0.24296670113983113)
evaluation 29400: force 0.15991995272139836, moment 0.09152052153199255, torque Some(0.24296670113983113)
evaluation 29600: force 0.15991995272139836, moment 0.09152108423531455, torque Some(0.24296670113983113)
evaluation 29800: force 0.15991995272139836, moment 0.09152052153199255, torque Some(0.24296670113983113)
evaluation 30000: force 0.15971929573919544, moment 0.09125434921573579, torque Some(0.24339319890865269)
evaluation 30200: force 0.15971929573919544, moment 0.09125434921573579, torque Some(0.24339320909294426)
evaluation 30400: force 0.15971929573919544, moment 0.09125434921573579, torque Some(0.24339319890865269)
evaluation 30600: force 0.15971929573919544, moment 0.09125434921573579, torque Some(0.24339319890865269)
evaluation 30800: force 0.15971929573919544, moment 0.09126133067501392, torque Some(0.24339319890865269)
evaluation 31000: force 0.15971929573919544, moment 0.09125434921573579, torque Some(0.24339319890865269)
evaluation 31200: force 0.1597045687364506, moment 0.09116038294555132, torque Some(0.24352032188800082)
evaluation 31400: force 0.1597045687364506, moment 0.09116038294555132, torque Some(0.24352032188800082)
evaluation 31600: force 0.1597045687364506, moment 0.09116038294555132, torque Some(0.24352032188800082)
evaluation 31800: force 0.1597045687364506, moment 0.09116038294555132, torque Some(0.24352032188800082)
evaluation 32000: force 0.15970787817445697, moment 0.09116026785308033, torque Some(0.24352032188800082)
evaluation 32200: force 0.15951660534141218, moment 0.09085395384366257, torque Some(0.24390487621639564)
evaluation 32400: force 0.15951660534141218, moment 0.09085395384366257, torque Some(0.24390488281473263)
evaluation 32600: force 0.15951660534141218, moment 0.09085395384366257, torque Some(0.24390487621639564)
evaluation 32800: force 0.15951660534141218, moment 0.09085395384366257, torque Some(0.24390487621639564)
evaluation 33000: force 0.15951660534141218, moment 0.09085395384366257, torque Some(0.24390487621639564)
evaluation 33200: force 0.15951601871186813, moment 0.09085395384366257, torque Some(0.24390487621639564)
evaluation 33400: force 0.15813261761664704, moment 0.08992010068719965, torque Some(0.24509293884490752)
evaluation 33600: force 0.15813261761664704, moment 0.08992010068719965, torque Some(0.24509293884490752)
evaluation 33800: force 0.15813261761664704, moment 0.08992010068719965, torque Some(0.24509293884490752)
evaluation 34000: force 0.15813261761664704, moment 0.08992010068719965, torque Some(0.24509293884490752)
evaluation 34200: force 0.15813261761664704, moment 0.0899199872152249, torque Some(0.24509293884490752)
evaluation 34400: force 0.15813261761664704, moment 0.08992010068719965, torque Some(0.24509293884490752)
evaluation 34600: force 0.15789701480438054, moment 0.08966286626263281, torque Some(0.24544576705781954)
evaluation 34800: force 0.15789701480438054, moment 0.08966286626263281, torque Some(0.2454457772423688)
evaluation 35000: force 0.15789701480438054, moment 0.08966286626263281, torque Some(0.24544576705781954)
evaluation 35200: force 0.15789701480438054, moment 0.08966286626263281, torque Some(0.24544576705781954)
evaluation 35400: force 0.15789701480438054, moment 0.0896698001758306, torque Some(0.24544576705781954)
evaluation 35600: force 0.15789701480438054, moment 0.08966286626263281, torque Some(0.24544576705781954)
evaluation 35800: force 0.15783732690736338, moment 0.08814940724545436, torque Some(0.24594994587692598)
evaluation 36000: force 0.15783732690736338, moment 0.08814940724545436, torque Some(0.24594994587692598)
evaluation 36200: force 0.15783732690736338, moment 0.08814940724545436, torque Some(0.24594994587692598)
evaluation 36400: force 0.15783732690736338, moment 0.08814940724545436, torque Some(0.24594994587692598)
evaluation 36600: force 0.15788347418083257, moment 0.08812184727643022, torque Some(0.24594994587692598)
evaluation 36800: force 0.15734408225051097, moment 0.0881102202036094, torque Some(0.24644205755238008)
evaluation 37000: force 0.15734408225051097, moment 0.0881102202036094, torque Some(0.24644205755238008)
evaluation 37200: force 0.15734408225051097, moment 0.0881102202036094, torque Some(0.24644205755238008)
evaluation 37400: force 0.15734408225051097, moment 0.0881102202036094, torque Some(0.24644205755238008)
evaluation 37600: force 0.15734408225051097, moment 0.0881102202036094, torque Some(0.24644205755238008)
evaluation 37800: force 0.15734549873957573, moment 0.0881102202036094, torque Some(0.24644205755238008)
evaluation 38000: force 0.15504442467057397, moment 0.08793016556104252, torque Some(0.24783868896693506)
evaluation 38200: force 0.15504442467057397, moment 0.08793016556104252, torque Some(0.24783868896693506)
evaluation 38400: force 0.15504442467057397, moment 0.08793016556104252, torque Some(0.24783868896693506)
evaluation 38600: force 0.15504442467057397, moment 0.08793016556104252, torque Some(0.24783868896693506)
evaluation 38800: force 0.15504442467057397, moment 0.08797390552940812, torque Some(0.24783868896693506)
evaluation 39000: force 0.15504442467057397, moment 0.08793016556104252, torque Some(0.24783868896693506)
evaluation 39200: force 0.1543131376775239, moment 0.08795795032908776, torque Some(0.24825128292074936)
evaluation 39400: force 0.1543131376775239, moment 0.08795795032908776, torque Some(0.24825170085176035)
evaluation 39600: force 0.1543131376775239, moment 0.08795795032908776, torque Some(0.24825128292074936)
evaluation 39800: force 0.1543131376775239, moment 0.08795795032908776, torque Some(0.24825128292074936)
evaluation 40000: force 0.1543131376775239, moment 0.08796010472999025, torque Some(0.24825128292074936)
