smoothing 0.003 evaluation 3120: force 3.0506, moment 0.8061, torque Some(-0.01157331162608538)
smoothing 0.003 evaluation 3140: force 3.0506, moment 0.8061, torque Some(-0.01157331162608538)
smoothing 0.003 evaluation 3160: force 3.0506, moment 0.8061, torque Some(-0.01157331162608538)
smoothing 0.003 evaluation 3180: force 3.0506, moment 0.8061, torque Some(-0.01157331162608538)
smoothing 0.003 evaluation 3200: force 2.8934, moment 0.7898, torque Some(-0.00370953723829337)
smoothing 0.003 evaluation 3220: force 2.8933, moment 0.7898, torque Some(-0.0037082517080655464)
smoothing 0.003 evaluation 3240: force 2.8934, moment 0.7898, torque Some(-0.003707529715215818)
smoothing 0.003 evaluation 3260: force 2.8934, moment 0.7898, torque Some(-0.0037072669909827827)
smoothing 0.003 evaluation 3280: force 2.8934, moment 0.7898, torque Some(-0.003707529715215818)
smoothing 0.003 evaluation 3300: force 2.8934, moment 0.7898, torque Some(-0.003707529715215818)
smoothing 0.003 evaluation 3320: force 2.8934, moment 0.7898, torque Some(-0.003707529715215818)
smoothing 0.003 evaluation 3340: force 2.8934, moment 0.7898, torque Some(-0.003707529715215818)
smoothing 0.003 evaluation 3360: force 2.8934, moment 0.7898, torque Some(-0.003707529715215818)
smoothing 0.003 evaluation 3380: force 2.8934, moment 0.7898, torque Some(-0.003707529715215818)
smoothing 0.003 evaluation 3400: force 2.8934, moment 0.7898, torque Some(-0.003707529715215818)
smoothing 0.003 evaluation 3420: force 2.8934, moment 0.7898, torque Some(-0.003707529715215818)
smoothing 0.003 evaluation 3440: force 2.8934, moment 0.7898, torque Some(-0.0037075174892184926)
smoothing 0.003 evaluation 3460: force 2.8934, moment 0.7898, torque Some(-0.003707529715215818)
smoothing 0.003 evaluation 3480: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3500: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3520: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3540: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3560: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3580: force 2.5752, moment 0.7525, torque Some(-0.017148913168770763)
smoothing 0.003 evaluation 3600: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3620: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3640: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3660: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3680: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3700: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3720: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3740: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3760: force 2.5752, moment 0.7525, torque Some(-0.017148309856295008)
smoothing 0.003 evaluation 3780: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 3800: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 3820: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 3840: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 3860: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 3880: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 3900: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 3920: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 3940: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 3960: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 3980: force 2.5056, moment 0.7435, torque Some(-0.004124217289349086)
smoothing 0.003 evaluation 4000: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 4020: force 2.5056, moment 0.7435, torque Some(-0.004125083639166971)
smoothing 0.003 evaluation 4040: force 2.5056, moment 0.7435, torque Some(-0.004124815483867006)
smoothing 0.003 evaluation 4060: force 2.3495, moment 0.7216, torque Some(-0.0018464517894449806)
smoothing 0.003 evaluation 4080: force 2.3495, moment 0.7216, torque Some(-0.0018462729029022906)
smoothing 0.003 evaluation 4100: force 2.3495, moment 0.7216, torque Some(-0.001845857022950037)
smoothing 0.003 evaluation 4120: force 2.3495, moment 0.7216, torque Some(-0.0018462729029022906)
smoothing 0.003 evaluation 4140: force 2.3495, moment 0.7216, torque Some(-0.0018467805526993786)
smoothing 0.003 evaluation 4160: force 2.3495, moment 0.7216, torque Some(-0.0018462729029022906)
smoothing 0.003 evaluation 4180: force 2.3495, moment 0.7216, torque Some(-0.0018462729029022906)
smoothing 0.003 evaluation 4200: force 2.3495, moment 0.7216, torque Some(-0.0018462729029022906)
smoothing 0.003 evaluation 4220: force 2.3495, moment 0.7216, torque Some(-0.0018462729029022906)
smoothing 0.003 evaluation 4240: force 2.3495, moment 0.7216, torque Some(-0.0018462729029022906)
smoothing 0.003 evaluation 4260: force 2.3495, moment 0.7216, torque Some(-0.0018462729029022906)
smoothing 0.003 evaluation 4280: force 2.3495, moment 0.7216, torque Some(-0.0018462729029022906)
smoothing 0.003 evaluation 4300: force 2.3495, moment 0.7216, torque Some(-0.0018462729029022906)
smoothing 0.003 evaluation 4320: force 2.3495, moment 0.7216, torque Some(-0.001846286890498261)
smoothing 0.003 evaluation 4340: force 2.3495, moment 0.7216, torque Some(-0.0018463883838237827)
smoothing 0.003 evaluation 4360: force 2.3105, moment 0.7191, torque Some(-0.0015886409669099155)
smoothing 0.003 evaluation 4380: force 2.3105, moment 0.7191, torque Some(-0.0015886077608497917)
smoothing 0.003 evaluation 4400: force 2.3105, moment 0.7191, torque Some(-0.0015886409669099155)
smoothing 0.003 evaluation 4420: force 2.3105, moment 0.7191, torque Some(-0.0015890243433669404)
smoothing 0.003 evaluation 4440: force 2.3105, moment 0.7191, torque Some(-0.0015886409669099155)
smoothing 0.003 evaluation 4460: force 2.3105, moment 0.7191, torque Some(-0.0015886409669099155)
smoothing 0.003 evaluation 4480: force 2.3105, moment 0.7191, torque Some(-0.0015886409669099155)
smoothing 0.003 evaluation 4500: force 2.3105, moment 0.7191, torque Some(-0.0015886409669099155)
smoothing 0.003 evaluation 4520: force 2.3105, moment 0.7191, torque Some(-0.0015886409669099155)
smoothing 0.003 evaluation 4540: force 2.3105, moment 0.7191, torque Some(-0.0015886409669099155)
smoothing 0.003 evaluation 4560: force 2.3105, moment 0.7191, torque Some(-0.0015886409669099155)
smoothing 0.003 evaluation 4580: force 2.3105, moment 0.7191, torque Some(-0.0015886409669099155)
smoothing 0.003 evaluation 4600: force 2.3105, moment 0.7191, torque Some(-0.001588657786979919)
smoothing 0.003 evaluation 4620: force 2.3105, moment 0.7191, torque Some(-0.0015886409669099155)
smoothing 0.003 evaluation 4640: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4660: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4680: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4700: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4720: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4740: force 2.2148, moment 0.7024, torque Some(-0.045796283061218634)
smoothing 0.003 evaluation 4760: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4780: force 2.2148, moment 0.7024, torque Some(-0.04579624277901839)
smoothing 0.003 evaluation 4800: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4820: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4840: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4860: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4880: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4900: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4920: force 2.2148, moment 0.7024, torque Some(-0.04579645925745446)
smoothing 0.003 evaluation 4940: force 2.1660, moment 0.6803, torque Some(-0.00366559825892665)
smoothing 0.003 evaluation 4960: force 2.1660, moment 0.6803, torque Some(-0.00366559825892665)
smoothing 0.003 evaluation 4980: force 2.1660, moment 0.6803, torque Some(-0.00366559825892665)
smoothing 0.003 evaluation 5000: force 2.1660, moment 0.6803, torque Some(-0.0036654909482265463)
smoothing 0.003 evaluation 5020: force 2.1660, moment 0.6803, torque Some(-0.00366559825892665)
smoothing 0.003 evaluation 5040: force 2.1660, moment 0.6803, torque Some(-0.0036636974405719336)
smoothing 0.003 evaluation 5060: force 2.1660, moment 0.6803, torque Some(-0.00366559825892665)
smoothing 0.003 evaluation 5080: force 2.1660, moment 0.6803, torque Some(-0.003665927477843889)
smoothing 0.003 evaluation 5100: force 2.1660, moment 0.6803, torque Some(-0.00366559825892665)
smoothing 0.003 evaluation 5120: force 2.1660, moment 0.6803, torque Some(-0.00366559825892665)
smoothing 0.003 evaluation 5140: force 2.1660, moment 0.6803, torque Some(-0.00366559825892665)
smoothing 0.003 evaluation 5160: force 2.1660, moment 0.6803, torque Some(-0.00366559825892665)
smoothing 0.003 evaluation 5180: force 2.1660, moment 0.6803, torque Some(-0.00366559825892665)
smoothing 0.003 evaluation 5200: force 2.1660, moment 0.6803, torque Some(-0.00366559825892665)
smoothing 0.003 evaluation 5220: force 2.1611, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5240: force 2.1610, moment 0.6276, torque Some(-0.0017499580598878683)
smoothing 0.003 evaluation 5260: force 2.1610, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5280: force 2.1611, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5300: force 2.1611, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5320: force 2.1611, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5340: force 2.1611, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5360: force 2.1611, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5380: force 2.1611, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5400: force 2.1611, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5420: force 2.1611, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5440: force 2.1611, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5460: force 2.1611, moment 0.6276, torque Some(-0.0017501420514239863)
smoothing 0.003 evaluation 5480: force 2.1610, moment 0.6276, torque Some(-0.001750063571453464)
smoothing 0.003 evaluation 5500: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5520: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5540: force 2.3648, moment 0.5450, torque Some(-0.009620622303206039)
smoothing 0.003 evaluation 5560: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5580: force 2.3648, moment 0.5450, torque Some(-0.009616927305647449)
smoothing 0.003 evaluation 5600: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5620: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5640: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5660: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5680: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5700: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5720: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5740: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5760: force 2.3648, moment 0.5450, torque Some(-0.009617147202267029)
smoothing 0.003 evaluation 5780: force 2.3648, moment 0.5450, torque Some(-0.009617248268076084)
smoothing 0.003 evaluation 5800: force 2.3673, moment 0.5312, torque Some(-0.04829198306919358)
smoothing 0.003 evaluation 5820: force 2.3673, moment 0.5312, torque Some(-0.04829198306919358)
smoothing 0.003 evaluation 5840: force 2.3673, moment 0.5312, torque Some(-0.04829198306919358)
smoothing 0.003 evaluation 5860: force 2.3673, moment 0.5312, torque Some(-0.0482927097049719)
