evaluation 28800: force 0.22353157836524035, moment 0.05317361115989616, torque Some(-4.319248203765724e-6)
evaluation 29000: force 0.22353157836524035, moment 0.053153597888359716, torque Some(-4.319248203765724e-6)
evaluation 29200: force 0.22353157836524035, moment 0.05317361115989616, torque Some(-4.319248203765724e-6)
evaluation 29400: force 0.22353157836524035, moment 0.05317361115989616, torque Some(-4.319248203765724e-6)
evaluation 29600: force 0.22353157836523946, moment 0.05317361115989616, torque Some(-4.319248203765724e-6)
evaluation 29800: force 0.22353157836524035, moment 0.05317361115989616, torque Some(-4.319248203765724e-6)
evaluation 30000: force 0.22354204360956131, moment 0.05317201974772634, torque Some(-0.00012953604456467094)
evaluation 30200: force 0.22354204360956131, moment 0.053158528590452114, torque Some(-0.00012953604456467094)
evaluation 30400: force 0.22354204360956131, moment 0.05317201974772634, torque Some(-0.00012953604456467094)
evaluation 30600: force 0.22354204360956131, moment 0.05317201974772634, torque Some(-0.00012953604456467094)
evaluation 30800: force 0.22354036072680017, moment 0.05317201974772634, torque Some(-0.00012953604456467094)
evaluation 31000: force 0.22354204360956131, moment 0.05317201974772634, torque Some(-0.00012953604456467094)
evaluation 31200: force 0.22351866756058936, moment 0.05317056555473276, torque Some(-4.858003528562804e-6)
evaluation 31400: force 0.22351866756058936, moment 0.05317056555473276, torque Some(-4.858003528562804e-6)
evaluation 31600: force 0.22351866756058936, moment 0.05317056555473276, torque Some(-4.858003528562804e-6)
evaluation 31800: force 0.22351866756058936, moment 0.05317056555473276, torque Some(-4.322515980925701e-6)
evaluation 32000: force 0.22351866756058936, moment 0.05317056555473276, torque Some(-4.858003528562804e-6)
evaluation 32200: force 0.22351927113795164, moment 0.05316623642302143, torque Some(-4.341352509928953e-6)
evaluation 32400: force 0.22351927113795164, moment 0.05316623642302143, torque Some(-4.341352509928953e-6)
evaluation 32600: force 0.22351927113795164, moment 0.05316623642302143, torque Some(-4.341352509928953e-6)
evaluation 32800: force 0.22351927113795164, moment 0.05316623642302143, torque Some(-4.341352509928953e-6)
evaluation 33000: force 0.22351927113795164, moment 0.05316623642302143, torque Some(-4.341352509928953e-6)
evaluation 33200: force 0.22351927113795164, moment 0.05316623642302143, torque Some(-4.341352509928953e-6)
evaluation 33400: force 0.2235163134968023, moment 0.05315279728066202, torque Some(-4.366122514865012e-6)
evaluation 33600: force 0.2235163134968023, moment 0.0531579216703808, torque Some(-4.366122514865012e-6)
evaluation 33800: force 0.2235163134968023, moment 0.05315279728066202, torque Some(-4.366122514865012e-6)
evaluation 34000: force 0.2235163134968023, moment 0.05315279728066202, torque Some(-4.366122514865012e-6)
evaluation 34200: force 0.22342524395992044, moment 0.05315279728066202, torque Some(-4.366122514865012e-6)
evaluation 34400: force 0.2235163134968023, moment 0.05315279728066202, torque Some(-4.366122514865012e-6)
