smoothing 0.003 evaluation 2960: force 3.7812, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 2980: force 3.7812, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 3000: force 3.7812, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 3020: force 3.7813, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 3040: force 3.7812, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 3060: force 3.7812, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 3080: force 3.7812, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 3100: force 3.7812, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 3120: force 3.7812, moment 0.7950, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 3140: force 3.7812, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 3160: force 3.7812, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 3180: force 3.7812, moment 0.7951, torque Some(-0.10867494486250051)
smoothing 0.003 evaluation 3200: force 3.4237, moment 0.7678, torque Some(-0.00819040894319989)
smoothing 0.003 evaluation 3220: force 3.4237, moment 0.7678, torque Some(-0.00819040894319989)
smoothing 0.003 evaluation 3240: force 3.4237, moment 0.7678, torque Some(-0.00819040894319989)
smoothing 0.003 evaluation 3260: force 3.4237, moment 0.7678, torque Some(-0.00819040894319989)
smoothing 0.003 evaluation 3280: force 3.4237, moment 0.7678, torque Some(-0.00819040894319989)
smoothing 0.003 evaluation 3300: force 3.4237, moment 0.7678, torque Some(-0.008190392288547566)
smoothing 0.003 evaluation 3320: force 3.4237, moment 0.7677, torque Some(-0.00819040894319989)
smoothing 0.003 evaluation 3340: force 3.4237, moment 0.7678, torque Some(-0.00819040894319989)
smoothing 0.003 evaluation 3360: force 3.4237, moment 0.7677, torque Some(-0.00819040894319989)
smoothing 0.003 evaluation 3380: force 3.4237, moment 0.7677, torque Some(-0.00819040894319989)
smoothing 0.003 evaluation 3400: force 3.4237, moment 0.7678, torque Some(-0.00819038514930992)
smoothing 0.003 evaluation 3420: force 3.4237, moment 0.7678, torque Some(-0.008190259753633855)
smoothing 0.003 evaluation 3440: force 3.4237, moment 0.7678, torque Some(-0.00819040894319989)
smoothing 0.003 evaluation 3460: force 3.4237, moment 0.7678, torque Some(-0.00819040894319989)
smoothing 0.003 evaluation 3480: force 2.8479, moment 0.6924, torque Some(-0.003904169322597628)
smoothing 0.003 evaluation 3500: force 2.8479, moment 0.6924, torque Some(-0.003904169322597628)
smoothing 0.003 evaluation 3520: force 2.8479, moment 0.6924, torque Some(-0.003904169322597628)
smoothing 0.003 evaluation 3540: force 2.8479, moment 0.6924, torque Some(-0.003904169322597628)
smoothing 0.003 evaluation 3560: force 2.8479, moment 0.6924, torque Some(-0.003904169322597628)
smoothing 0.003 evaluation 3580: force 2.8479, moment 0.6924, torque Some(-0.003904169322597628)
smoothing 0.003 evaluation 3600: force 2.8479, moment 0.6924, torque Some(-0.003904169322597628)
smoothing 0.003 evaluation 3620: force 2.8479, moment 0.6924, torque Some(-0.003904169322597628)
smoothing 0.003 evaluation 3640: force 2.8479, moment 0.6924, torque Some(-0.003904169322597628)
smoothing 0.003 evaluation 3660: force 2.8479, moment 0.6924, torque Some(-0.0039040712887983275)
smoothing 0.003 evaluation 3680: force 2.8479, moment 0.6924, torque Some(-0.003904169322597628)
smoothing 0.003 evaluation 3700: force 2.8479, moment 0.6924, torque Some(-0.0039033276593358757)
