evaluation 22400: force 0.17113950130265584, moment 0.06350182119516701, torque Some(-0.00018672625941884569)
evaluation 22600: force 0.17113950130265584, moment 0.06350182119516701, torque Some(-0.00018672625941884569)
evaluation 22800: force 0.17113950130265584, moment 0.06350182119516701, torque Some(-0.00018672625941884569)
evaluation 23000: force 0.17113950130265584, moment 0.06350182119516701, torque Some(-0.00018672625941884569)
evaluation 23200: force 0.17108143722260458, moment 0.06347653770234164, torque Some(-0.0001866523049487423)
evaluation 23400: force 0.17108143722260458, moment 0.06350294505746025, torque Some(-0.0001866523049487423)
evaluation 23600: force 0.17108143722260458, moment 0.06347653770234164, torque Some(-0.0001866523049487423)
evaluation 23800: force 0.17108143722260458, moment 0.06347653770234164, torque Some(-0.0001866523049487423)
evaluation 24000: force 0.17108143722260458, moment 0.06347653770234164, torque Some(-0.0001866523049487423)
evaluation 24200: force 0.17108168761677886, moment 0.06347653770234164, torque Some(-0.0001866523049487423)
evaluation 24400: force 0.17089763724579973, moment 0.06338057911915507, torque Some(-0.00018656974066133536)
evaluation 24600: force 0.17089763724579973, moment 0.06337938949750743, torque Some(-0.00018656974066133536)
evaluation 24800: force 0.17089763724579973, moment 0.06338057911915507, torque Some(-0.00018656974066133536)
evaluation 25000: force 0.17089763724579973, moment 0.06338057911915507, torque Some(-0.00018656974066133536)
evaluation 25200: force 0.17089763724579973, moment 0.06338057911915507, torque Some(-0.00018656974066133536)
evaluation 25400: force 0.17084080911974447, moment 0.06336225202722531, torque Some(-0.00018653106605492908)
evaluation 25600: force 0.17084069991984857, moment 0.06336225202722531, torque Some(-0.00018653106605492908)
evaluation 25800: force 0.17084069991984857, moment 0.06335656809430518, torque Some(-0.00018653106605492908)
evaluation 26000: force 0.17084069991984857, moment 0.06336225202722531, torque Some(-0.00018653106605492908)
evaluation 26200: force 0.17084069991984857, moment 0.06336225202722531, torque Some(-0.00018653106605492908)
evaluation 26400: force 0.17084069991984857, moment 0.06336225202722531, torque Some(-0.00018653106605492908)
evaluation 26600: force 0.17078494862495588, moment 0.06334386726397878, torque Some(-0.0001870010535758304)
evaluation 26800: force 0.17079263756532845, moment 0.06334386726397878, torque Some(-0.000186486644608852)
evaluation 27000: force 0.17079263756532845, moment 0.06334386726397878, torque Some(-0.000186486644608852)
evaluation 27200: force 0.17079263756532845, moment 0.06334386726397878, torque Some(-0.000186486644608852)
evaluation 27400: force 0.17079263756532845, moment 0.06334386726397878, torque Some(-0.000186486644608852)
evaluation 27600: force 0.17079263756532845, moment 0.06334386726397878, torque Some(-0.000186486644608852)
