smoothing 0.00001 evaluation 5060: force 0.0719, moment 0.0273, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 5080: force 0.0781, moment 0.0169, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 5100: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 5120: force 0.1177, moment 0.0544, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 5140: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 5160: force 0.0573, moment 0.0194, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 5180: force 0.0289, moment 0.0076, torque Some(-0.011645279462202507)
smoothing 0.00001 evaluation 5200: force 0.0867, moment 0.0166, torque Some(-0.013622831025020266)
smoothing 0.00001 evaluation 5220: force 0.0306, moment 0.0066, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5240: force 0.0601, moment 0.0110, torque Some(-0.015429098167313304)
smoothing 0.00001 evaluation 5260: force 0.0534, moment 0.0118, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5280: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5300: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5320: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5340: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5360: force 0.0317, moment 0.0135, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5380: force 0.0996, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5400: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5420: force 0.0462, moment 0.0126, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5440: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5460: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5480: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5500: force 0.0541, moment 0.0137, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5520: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5540: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5560: force 0.0472, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5580: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5600: force 0.0723, moment 0.0452, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5620: force 0.0870, moment 0.0157, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5640: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5660: force 0.0299, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5680: force 0.0496, moment 0.0131, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5700: force 0.0284, moment 0.0073, torque Some(-0.011555553660717921)
smoothing 0.00001 evaluation 5720: force 0.0371, moment 0.0092, torque Some(-0.011555553660717921)
