smoothing 0.003 evaluation 4220: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4240: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4260: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4280: force 6.5694, moment 0.3917, torque Some(0.3208505809169355)
smoothing 0.003 evaluation 4300: force 6.5694, moment 0.3918, torque Some(0.32085172422027863)
smoothing 0.003 evaluation 4320: force 6.5694, moment 0.3917, torque Some(0.3208505808984752)
smoothing 0.003 evaluation 4340: force 6.5679, moment 0.3984, torque Some(0.2260080662421282)
smoothing 0.003 evaluation 4360: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4380: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4400: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4420: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4440: force 6.5675, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4460: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4480: force 6.5680, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4500: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4520: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4540: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4560: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4580: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4600: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4620: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4640: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4660: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4680: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4700: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4720: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4740: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4760: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4780: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4800: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4820: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4840: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4860: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4880: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4900: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4920: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4940: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4960: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 4980: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 5000: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 5020: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 5040: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 5060: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 5080: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 5100: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 5120: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 5140: force 6.5679, moment 0.3984, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 5160: force 6.5679, moment 0.3984, torque Some(0.22601750832562795)
smoothing 0.003 evaluation 5180: force 6.5679, moment 0.3985, torque Some(0.22601795325499552)
smoothing 0.003 evaluation 5200: force 6.5771, moment 0.4200, torque Some(-0.04947020039426464)
smoothing 0.003 evaluation 5220: force 6.5771, moment 0.4200, torque Some(-0.049440943079766875)
smoothing 0.003 evaluation 5240: force 6.5771, moment 0.4200, torque Some(-0.04947358364199639)
smoothing 0.003 evaluation 5260: force 6.5771, moment 0.4200, torque Some(-0.04947204416672779)
smoothing 0.003 evaluation 5280: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5300: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5320: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5340: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5360: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5380: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5400: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5420: force 6.5772, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5440: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5460: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5480: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5500: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5520: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5540: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
