smoothing 0.00001 evaluation 4500: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4520: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4540: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4560: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4580: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4600: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4620: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4640: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4660: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4680: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4700: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4720: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4740: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4760: force 0.2541, moment 0.0326, torque Some(-0.011451190793123622)
smoothing 0.00001 evaluation 4780: force 0.1822, moment 0.0229, torque Some(-0.044643937412253476)
smoothing 0.00001 evaluation 4800: force 0.1812, moment 0.0228, torque Some(-0.044643937412253476)
smoothing 0.00001 evaluation 4820: force 0.1828, moment 0.0228, torque Some(-0.044643937412253476)
smoothing 0.00001 evaluation 4840: force 0.1828, moment 0.0277, torque Some(-0.044643937412253476)
smoothing 0.00001 evaluation 4860: force 0.1828, moment 0.0229, torque Some(-0.044643937412253476)
smoothing 0.00001 evaluation 4880: force 0.1828, moment 0.0229, torque Some(-0.04464399380388162)
smoothing 0.00001 evaluation 4900: force 0.1828, moment 0.0229, torque Some(-0.044643937412253476)
smoothing 0.00001 evaluation 4920: force 0.1828, moment 0.0229, torque Some(-0.04464385731509407)
smoothing 0.00001 evaluation 4940: force 0.1828, moment 0.0229, torque Some(-0.044643937412253476)
smoothing 0.00001 evaluation 4960: force 0.1828, moment 0.0229, torque Some(-0.044675331502190385)
smoothing 0.00001 evaluation 4980: force 0.1828, moment 0.0229, torque Some(-0.044799345426073445)
