evaluation 52600: force 0.15673991369397083, moment 0.06210748934553148, torque Some(0.2544544677859551)
evaluation 52800: force 0.15673991369397083, moment 0.06210748934553148, torque Some(0.2544544677859551)
evaluation 53000: force 0.15673991369397083, moment 0.06210748934553148, torque Some(0.2544544677859551)
evaluation 53200: force 0.15673991369397083, moment 0.06210748934553148, torque Some(0.2544544677859551)
evaluation 53400: force 0.1567313336934421, moment 0.06210748934553148, torque Some(0.2544544677859551)
evaluation 53600: force 0.15673991369397083, moment 0.06210748934553148, torque Some(0.2544544677859551)
evaluation 53800: force 0.15673547174653016, moment 0.06210713263020353, torque Some(0.25445567652643664)
evaluation 54000: force 0.15673547174653016, moment 0.06210713263020353, torque Some(0.25445567652643664)
evaluation 54200: force 0.15673547174653016, moment 0.06210713263020353, torque Some(0.25445567652643664)
evaluation 54400: force 0.15673547174653016, moment 0.06210713263020353, torque Some(0.25445567652643664)
evaluation 54600: force 0.15673757985064682, moment 0.06210713263020353, torque Some(0.25445567652643664)
evaluation 54800: force 0.15673413922597446, moment 0.06210702562079036, torque Some(0.2544560391368481)
evaluation 55000: force 0.15673413922597446, moment 0.06210702562079036, torque Some(0.2544560426346171)
evaluation 55200: force 0.15673413922597446, moment 0.06210702447288936, torque Some(0.2544560391368481)
evaluation 55400: force 0.15673413922597446, moment 0.06210702562079036, torque Some(0.2544560391368481)
evaluation 55600: force 0.15673413922597446, moment 0.06210702562079036, torque Some(0.2544560391368481)
evaluation 55800: force 0.15675100415969942, moment 0.06210702562079036, torque Some(0.2544560391368481)
evaluation 56000: force 0.15673413922597446, moment 0.06210702562079036, torque Some(0.2544560391368481)
evaluation 56200: force 0.15673373949591785, moment 0.06210699351692728, torque Some(0.25445614791891147)
evaluation 56400: force 0.15673373949591785, moment 0.062106608139172424, torque Some(0.25445614791891147)
evaluation 56600: force 0.15673373949591785, moment 0.06210699351692728, torque Some(0.25445614791891147)
evaluation 56800: force 0.15673373949591785, moment 0.06210699351692728, torque Some(0.25445614791891147)
evaluation 57000: force 0.1567395153097927, moment 0.06210699351692728, torque Some(0.25445614791891147)
evaluation 57200: force 0.15673373949591785, moment 0.06210699351692728, torque Some(0.25445614791891147)
evaluation 57400: force 0.15673361956494422, moment 0.0621069838876458, torque Some(0.2544561805534373)
evaluation 57600: force 0.15673361956494422, moment 0.0621069838876458, torque Some(0.2544561805534373)
evaluation 57800: force 0.15673361956494422, moment 0.0621069838876458, torque Some(0.2544561805534373)
evaluation 58000: force 0.15673361956494422, moment 0.0621069838876458, torque Some(0.2544561805534373)
evaluation 58200: force 0.15673361956494422, moment 0.0621069838876458, torque Some(0.2544561805534373)
evaluation 58400: force 0.15673631369550198, moment 0.0621069838876458, torque Some(0.2544561805534373)
evaluation 58600: force 0.15673361601960242, moment 0.062106983597263174, torque Some(0.25445618153246935)
evaluation 58800: force 0.15673361601960242, moment 0.062106983597263174, torque Some(0.25445619210363885)
evaluation 59000: force 0.15673361601960242, moment 0.0621067828865739, torque Some(0.25445618153246935)
evaluation 59200: force 0.15673361601960242, moment 0.062106983597263174, torque Some(0.25445618153246935)
evaluation 59400: force 0.15673361601960242, moment 0.062106983597263174, torque Some(0.25445618153246935)
evaluation 59600: force 0.15673385906511458, moment 0.062106983597263174, torque Some(0.25445618153246935)
evaluation 59800: force 0.15676739119508923, moment 0.062106983597263174, torque Some(0.25445618153246935)
evaluation 60000: force 0.15673360519788024, moment 0.06210698272290619, torque Some(0.254456184469579)
evaluation 60200: force 0.15673360519788024, moment 0.06210698272290619, torque Some(0.2544561967249886)
evaluation 60400: force 0.15673360519788024, moment 0.06210697353446303, torque Some(0.254456184469579)
evaluation 60600: force 0.15673360519788024, moment 0.06210698272290619, torque Some(0.254456184469579)
evaluation 60800: force 0.15673360519788024, moment 0.06210698272290619, torque Some(0.254456184469579)
