evaluation 27400: force 0.1949398423369773, moment 0.06047776027183298, torque Some(-6.743171697909389e-6)
evaluation 27600: force 0.19944404696735238, moment 0.06199038825759495, torque Some(-4.931982508005195e-6)
evaluation 27800: force 0.19944404696735238, moment 0.06199038825759495, torque Some(-4.931982508005195e-6)
evaluation 28000: force 0.19944404696735238, moment 0.06199038825759495, torque Some(-4.931982508005195e-6)
evaluation 28200: force 0.19944404696735238, moment 0.06199038825759495, torque Some(-4.931982508005195e-6)
evaluation 28400: force 0.19944404696735238, moment 0.06199038825759495, torque Some(-4.931982508005195e-6)
evaluation 28600: force 0.19944404696735238, moment 0.06199038825759495, torque Some(-4.931982508005195e-6)
evaluation 28800: force 0.20126369013850273, moment 0.06095441424873105, torque Some(-5.227843474425731e-6)
evaluation 29000: force 0.20126369013850273, moment 0.060960101977414194, torque Some(-5.227843474425731e-6)
evaluation 29200: force 0.20126369013850273, moment 0.06095441424873105, torque Some(-5.227843474425731e-6)
evaluation 29400: force 0.20126369013850273, moment 0.06095441424873105, torque Some(-5.227843474425731e-6)
evaluation 29600: force 0.20117233959678069, moment 0.06095441424873105, torque Some(-5.227843474425731e-6)
evaluation 29800: force 0.20126369013850273, moment 0.06095441424873105, torque Some(-5.227843474425731e-6)
evaluation 30000: force 0.20480607038329438, moment 0.06018500184733622, torque Some(-5.321900421240144e-6)
evaluation 30200: force 0.20480607038329438, moment 0.06018938235691662, torque Some(-4.921460178247683e-6)
evaluation 30400: force 0.20480607038329438, moment 0.06018500184733622, torque Some(-4.921460178247683e-6)
evaluation 30600: force 0.20480607038329438, moment 0.06018500184733622, torque Some(-4.921460178247683e-6)
evaluation 30800: force 0.204791597909086, moment 0.06018500184733622, torque Some(-4.921460178247683e-6)
evaluation 31000: force 0.20480607038329438, moment 0.06018500184733622, torque Some(-4.921460178247683e-6)
evaluation 31200: force 0.21227771347610477, moment 0.0597109677237595, torque Some(-4.687263893021765e-6)
evaluation 31400: force 0.21227771347610477, moment 0.0597109677237595, torque Some(-4.687263893021765e-6)
evaluation 31600: force 0.21227771347610477, moment 0.0597109677237595, torque Some(-4.687263893021765e-6)
evaluation 31800: force 0.21227771347610477, moment 0.0597109677237595, torque Some(-4.687263893021765e-6)
evaluation 32000: force 0.21227771347610477, moment 0.0597109677237595, torque Some(-4.687263893021765e-6)
evaluation 32200: force 0.21048977046912276, moment 0.05926444171181644, torque Some(-5.101496807657924e-6)
evaluation 32400: force 0.21048977046912276, moment 0.05926444171181644, torque Some(-5.101496807657924e-6)
evaluation 32600: force 0.21048977046912276, moment 0.05926444171181644, torque Some(-5.101496807657924e-6)
evaluation 32800: force 0.21048977046912276, moment 0.05926444171181644, torque Some(-5.101496807657924e-6)
evaluation 33000: force 0.21048977046912276, moment 0.05926444171181644, torque Some(-5.101496807657924e-6)
evaluation 33200: force 0.21048977046912276, moment 0.05926444171181644, torque Some(-5.101496807657924e-6)
evaluation 33400: force 0.21178248808694194, moment 0.059156127058213714, torque Some(-4.711420592051763e-6)
evaluation 33600: force 0.21178248808694194, moment 0.05916010653798365, torque Some(-4.711420592051763e-6)
evaluation 33800: force 0.21178248808694194, moment 0.059156127058213714, torque Some(-4.711420592051763e-6)
evaluation 34000: force 0.21178248808694194, moment 0.059156127058213714, torque Some(-4.711420592051763e-6)
evaluation 34200: force 0.21175111840380917, moment 0.059156127058213714, torque Some(-4.711420592051763e-6)
evaluation 34400: force 0.21178248808694194, moment 0.059156127058213714, torque Some(-4.711420592051763e-6)
