evaluation 52800: force 0.0690272246595065, moment 0.027670957230540905, torque Some(0.31160191909101453)
evaluation 53000: force 0.06885399914648693, moment 0.027623320486675953, torque Some(0.31168780258660467)
evaluation 53200: force 0.06885399914648693, moment 0.027623320486675953, torque Some(0.31168780258660467)
evaluation 53400: force 0.06885399914648693, moment 0.027623320486675953, torque Some(0.31168781142494184)
evaluation 53600: force 0.06885399914648693, moment 0.02762715598978911, torque Some(0.31168780258660467)
evaluation 53800: force 0.06885399914648693, moment 0.027623320486675953, torque Some(0.31168780258660467)
evaluation 54000: force 0.06885399914648693, moment 0.027623320486675953, torque Some(0.31168780258660467)
evaluation 54200: force 0.06885399914648693, moment 0.027623320486675953, torque Some(0.31168780258660467)
evaluation 54400: force 0.06885399914648693, moment 0.027623320486675953, torque Some(0.31168780258660467)
evaluation 54600: force 0.06885399914648693, moment 0.027623320486675953, torque Some(0.31168780258660467)
evaluation 54800: force 0.06885399914648693, moment 0.027623320486675953, torque Some(0.31168780258660467)
evaluation 55000: force 0.06885399914648693, moment 0.027623320486675953, torque Some(0.31168780258660467)
evaluation 55200: force 0.06885399914648693, moment 0.027623320486675953, torque Some(0.31168780258660467)
evaluation 55400: force 0.06844547184938266, moment 0.02747364078777173, torque Some(0.3118978598149647)
evaluation 55600: force 0.06844547184938266, moment 0.02747364078777173, torque Some(0.3118978598149647)
evaluation 55800: force 0.06844547184938266, moment 0.02747364078777173, torque Some(0.3118982959089829)
evaluation 56000: force 0.06844547184938266, moment 0.02747364078777173, torque Some(0.3118978598149647)
evaluation 56200: force 0.06844547184938266, moment 0.02747364078777173, torque Some(0.3118978598149647)
evaluation 56400: force 0.06844547184938266, moment 0.02747364078777173, torque Some(0.3118978598149647)
evaluation 56600: force 0.06844547184938266, moment 0.02747364078777173, torque Some(0.3118978598149647)
evaluation 56800: force 0.06844632903884829, moment 0.02747364078777173, torque Some(0.3118978598149647)
evaluation 57000: force 0.06844547184938266, moment 0.02747364078777173, torque Some(0.3118978598149647)
